unique_id,seasonal_str,trend_str
Q1,No seasonality,With trend
Q10,No seasonality,With trend
Q100,With seasonality,With trend
Q101,With seasonality,With trend
Q102,With seasonality,With trend
Q103,With seasonality,With trend
Q104,No seasonality,With trend
Q105,No seasonality,No trend
Q106,No seasonality,With trend
Q107,With seasonality,With trend
Q108,With seasonality,With trend
Q109,With seasonality,With trend
Q11,With seasonality,With trend
Q110,With seasonality,With trend
Q111,With seasonality,With trend
Q112,With seasonality,With trend
Q113,With seasonality,With trend
Q114,With seasonality,With trend
Q115,With seasonality,With trend
Q116,With seasonality,With trend
Q117,No seasonality,With trend
Q118,With seasonality,With trend
Q119,With seasonality,With trend
Q12,With seasonality,With trend
Q120,No seasonality,With trend
Q121,With seasonality,With trend
Q122,With seasonality,With trend
Q123,With seasonality,With trend
Q124,With seasonality,With trend
Q125,No seasonality,With trend
Q126,With seasonality,With trend
Q127,With seasonality,With trend
Q128,No seasonality,With trend
Q129,No seasonality,With trend
Q13,No seasonality,With trend
Q130,No seasonality,With trend
Q131,With seasonality,With trend
Q132,No seasonality,With trend
Q133,With seasonality,With trend
Q134,With seasonality,With trend
Q135,With seasonality,With trend
Q136,With seasonality,With trend
Q137,No seasonality,With trend
Q138,With seasonality,With trend
Q139,No seasonality,With trend
Q14,No seasonality,With trend
Q140,With seasonality,With trend
Q141,With seasonality,With trend
Q142,With seasonality,With trend
Q143,No seasonality,With trend
Q144,With seasonality,With trend
Q145,With seasonality,With trend
Q146,With seasonality,With trend
Q147,With seasonality,With trend
Q148,No seasonality,With trend
Q149,No seasonality,With trend
Q15,With seasonality,With trend
Q150,No seasonality,With trend
Q151,With seasonality,With trend
Q152,No seasonality,With trend
Q153,With seasonality,With trend
Q154,No seasonality,With trend
Q155,With seasonality,With trend
Q156,With seasonality,With trend
Q157,No seasonality,With trend
Q158,With seasonality,With trend
Q159,With seasonality,No trend
Q16,No seasonality,With trend
Q160,With seasonality,With trend
Q161,With seasonality,With trend
Q162,No seasonality,No trend
Q163,No seasonality,No trend
Q164,With seasonality,With trend
Q165,No seasonality,With trend
Q166,No seasonality,With trend
Q167,With seasonality,With trend
Q168,No seasonality,With trend
Q169,No seasonality,With trend
Q17,No seasonality,With trend
Q170,With seasonality,With trend
Q171,No seasonality,No trend
Q172,No seasonality,With trend
Q173,With seasonality,With trend
Q174,With seasonality,With trend
Q175,No seasonality,With trend
Q176,With seasonality,With trend
Q177,With seasonality,With trend
Q178,With seasonality,With trend
Q179,With seasonality,With trend
Q18,No seasonality,With trend
Q180,With seasonality,With trend
Q181,With seasonality,With trend
Q182,No seasonality,No trend
Q183,With seasonality,With trend
Q184,With seasonality,With trend
Q185,With seasonality,With trend
Q186,With seasonality,With trend
Q187,No seasonality,No trend
Q188,With seasonality,With trend
Q189,No seasonality,With trend
Q19,No seasonality,With trend
Q190,No seasonality,With trend
Q191,No seasonality,No trend
Q192,No seasonality,With trend
Q193,With seasonality,With trend
Q194,With seasonality,With trend
Q195,No seasonality,With trend
Q196,No seasonality,With trend
Q197,With seasonality,No trend
Q198,No seasonality,No trend
Q199,With seasonality,With trend
Q2,No seasonality,With trend
Q20,No seasonality,With trend
Q200,No seasonality,No trend
Q201,No seasonality,No trend
Q202,No seasonality,No trend
Q203,With seasonality,With trend
Q204,With seasonality,With trend
Q205,With seasonality,With trend
Q206,With seasonality,With trend
Q207,With seasonality,With trend
Q208,With seasonality,With trend
Q209,With seasonality,With trend
Q21,With seasonality,With trend
Q210,With seasonality,With trend
Q211,No seasonality,With trend
Q212,No seasonality,With trend
Q213,With seasonality,With trend
Q214,With seasonality,With trend
Q215,With seasonality,With trend
Q216,With seasonality,With trend
Q217,With seasonality,With trend
Q218,With seasonality,With trend
Q219,With seasonality,No trend
Q22,With seasonality,With trend
Q220,With seasonality,With trend
Q221,With seasonality,With trend
Q222,With seasonality,With trend
Q223,With seasonality,With trend
Q224,With seasonality,With trend
Q225,With seasonality,With trend
Q226,With seasonality,With trend
Q227,No seasonality,With trend
Q228,No seasonality,With trend
Q229,With seasonality,With trend
Q23,No seasonality,With trend
Q230,With seasonality,With trend
Q231,With seasonality,With trend
Q232,No seasonality,With trend
Q233,With seasonality,With trend
Q234,No seasonality,With trend
Q235,With seasonality,With trend
Q236,No seasonality,With trend
Q237,With seasonality,With trend
Q238,With seasonality,With trend
Q239,No seasonality,With trend
Q24,No seasonality,With trend
Q240,No seasonality,With trend
Q241,With seasonality,With trend
Q242,With seasonality,With trend
Q243,No seasonality,With trend
Q244,No seasonality,With trend
Q245,No seasonality,With trend
Q246,No seasonality,With trend
Q247,No seasonality,With trend
Q248,No seasonality,With trend
Q249,No seasonality,With trend
Q25,No seasonality,With trend
Q250,With seasonality,With trend
Q251,With seasonality,With trend
Q252,With seasonality,With trend
Q253,No seasonality,With trend
Q254,No seasonality,With trend
Q255,No seasonality,With trend
Q256,No seasonality,With trend
Q257,No seasonality,With trend
Q258,No seasonality,With trend
Q259,With seasonality,With trend
Q26,With seasonality,With trend
Q260,No seasonality,With trend
Q261,No seasonality,With trend
Q262,With seasonality,With trend
Q263,No seasonality,With trend
Q264,No seasonality,With trend
Q265,No seasonality,With trend
Q266,No seasonality,With trend
Q267,No seasonality,With trend
Q268,No seasonality,With trend
Q269,With seasonality,With trend
Q27,No seasonality,With trend
Q270,No seasonality,With trend
Q271,With seasonality,With trend
Q272,No seasonality,With trend
Q273,No seasonality,With trend
Q274,With seasonality,With trend
Q275,With seasonality,With trend
Q276,No seasonality,With trend
Q277,With seasonality,With trend
Q278,With seasonality,With trend
Q279,With seasonality,With trend
Q28,No seasonality,With trend
Q280,No seasonality,With trend
Q281,No seasonality,With trend
Q282,With seasonality,With trend
Q283,With seasonality,With trend
Q284,With seasonality,With trend
Q285,No seasonality,With trend
Q286,With seasonality,With trend
Q287,No seasonality,With trend
Q288,No seasonality,With trend
Q289,No seasonality,With trend
Q29,With seasonality,With trend
Q290,No seasonality,With trend
Q291,No seasonality,With trend
Q292,No seasonality,With trend
Q293,No seasonality,With trend
Q294,No seasonality,With trend
Q295,With seasonality,With trend
Q296,No seasonality,With trend
Q297,No seasonality,With trend
Q298,No seasonality,With trend
Q299,No seasonality,With trend
Q3,No seasonality,With trend
Q30,No seasonality,No trend
Q300,No seasonality,With trend
Q301,No seasonality,With trend
Q302,No seasonality,With trend
Q303,No seasonality,With trend
Q304,No seasonality,With trend
Q305,No seasonality,With trend
Q306,With seasonality,With trend
Q307,No seasonality,With trend
Q308,No seasonality,With trend
Q309,With seasonality,With trend
Q31,With seasonality,With trend
Q310,No seasonality,With trend
Q311,No seasonality,With trend
Q312,No seasonality,With trend
Q313,No seasonality,With trend
Q314,No seasonality,With trend
Q315,No seasonality,With trend
Q316,No seasonality,With trend
Q317,No seasonality,With trend
Q318,No seasonality,With trend
Q319,No seasonality,With trend
Q32,With seasonality,With trend
Q320,No seasonality,With trend
Q321,No seasonality,With trend
Q322,No seasonality,With trend
Q323,No seasonality,With trend
Q324,With seasonality,With trend
Q325,No seasonality,With trend
Q326,No seasonality,With trend
Q327,No seasonality,With trend
Q328,No seasonality,With trend
Q329,No seasonality,With trend
Q33,No seasonality,With trend
Q330,No seasonality,With trend
Q331,No seasonality,With trend
Q332,No seasonality,With trend
Q333,No seasonality,With trend
Q334,No seasonality,With trend
Q335,No seasonality,With trend
Q336,No seasonality,With trend
Q337,No seasonality,With trend
Q338,No seasonality,With trend
Q339,With seasonality,With trend
Q34,With seasonality,With trend
Q340,No seasonality,With trend
Q341,No seasonality,With trend
Q342,No seasonality,With trend
Q343,No seasonality,No trend
Q344,No seasonality,With trend
Q345,No seasonality,With trend
Q346,No seasonality,With trend
Q347,No seasonality,With trend
Q348,No seasonality,With trend
Q349,No seasonality,With trend
Q35,No seasonality,With trend
Q350,No seasonality,With trend
Q351,No seasonality,With trend
