unique_id,seasonal_str,trend_str
ID0,With seasonality,With trend
ID1,No seasonality,No trend
ID10,With seasonality,With trend
ID100,No seasonality,With trend
ID101,With seasonality,With trend
ID102,With seasonality,No trend
ID103,With seasonality,With trend
ID104,With seasonality,With trend
ID105,With seasonality,With trend
ID106,With seasonality,With trend
ID107,With seasonality,With trend
ID108,With seasonality,With trend
ID109,No seasonality,With trend
ID11,No seasonality,No trend
ID110,No seasonality,With trend
ID111,With seasonality,With trend
ID112,With seasonality,With trend
ID113,With seasonality,With trend
ID114,With seasonality,With trend
ID115,No seasonality,With trend
ID116,No seasonality,With trend
ID117,With seasonality,With trend
ID118,No seasonality,With trend
ID119,With seasonality,With trend
ID12,With seasonality,With trend
ID120,With seasonality,With trend
ID121,With seasonality,With trend
ID122,With seasonality,With trend
ID123,With seasonality,With trend
ID124,With seasonality,With trend
ID125,No seasonality,With trend
ID126,With seasonality,With trend
ID127,No seasonality,With trend
ID128,With seasonality,With trend
ID129,With seasonality,With trend
ID13,With seasonality,With trend
ID130,With seasonality,With trend
ID131,With seasonality,With trend
ID132,With seasonality,With trend
ID133,With seasonality,With trend
ID134,With seasonality,With trend
ID135,With seasonality,With trend
ID136,With seasonality,With trend
ID137,With seasonality,No trend
ID138,With seasonality,With trend
ID139,With seasonality,With trend
ID14,With seasonality,With trend
ID140,With seasonality,With trend
ID141,With seasonality,With trend
ID142,With seasonality,With trend
ID143,With seasonality,With trend
ID144,With seasonality,With trend
ID145,With seasonality,No trend
ID146,With seasonality,With trend
ID147,No seasonality,With trend
ID148,With seasonality,With trend
ID149,With seasonality,With trend
ID15,No seasonality,With trend
ID150,With seasonality,With trend
ID151,With seasonality,With trend
ID152,With seasonality,No trend
ID153,With seasonality,With trend
ID154,With seasonality,With trend
ID155,With seasonality,With trend
ID156,With seasonality,With trend
ID157,With seasonality,With trend
ID158,With seasonality,With trend
ID159,No seasonality,With trend
ID16,No seasonality,With trend
ID160,With seasonality,With trend
ID161,With seasonality,With trend
ID162,With seasonality,With trend
ID163,With seasonality,With trend
ID164,No seasonality,No trend
ID165,With seasonality,With trend
ID166,No seasonality,With trend
ID167,With seasonality,With trend
ID168,With seasonality,With trend
ID169,With seasonality,No trend
ID17,No seasonality,No trend
ID170,No seasonality,With trend
ID171,No seasonality,No trend
ID172,With seasonality,With trend
ID173,No seasonality,No trend
ID174,With seasonality,With trend
ID175,No seasonality,With trend
ID176,With seasonality,With trend
ID177,No seasonality,With trend
ID178,No seasonality,With trend
ID179,No seasonality,With trend
ID18,With seasonality,No trend
ID180,With seasonality,With trend
ID181,With seasonality,With trend
ID182,With seasonality,With trend
ID183,No seasonality,With trend
ID184,With seasonality,With trend
ID185,With seasonality,With trend
ID186,With seasonality,With trend
ID187,No seasonality,No trend
ID188,With seasonality,No trend
ID189,With seasonality,With trend
ID19,With seasonality,No trend
ID190,With seasonality,With trend
ID191,With seasonality,With trend
ID192,With seasonality,With trend
ID193,With seasonality,With trend
ID194,With seasonality,With trend
ID195,With seasonality,With trend
ID196,With seasonality,With trend
ID197,No seasonality,With trend
ID198,No seasonality,No trend
ID199,With seasonality,With trend
ID2,With seasonality,With trend
ID20,With seasonality,No trend
ID200,With seasonality,With trend
ID201,No seasonality,No trend
ID202,With seasonality,No trend
ID203,With seasonality,With trend
ID204,With seasonality,With trend
ID205,With seasonality,With trend
ID206,With seasonality,With trend
ID207,With seasonality,With trend
ID208,With seasonality,With trend
ID209,With seasonality,No trend
ID21,With seasonality,With trend
ID210,With seasonality,With trend
ID211,With seasonality,With trend
ID212,With seasonality,With trend
ID213,With seasonality,With trend
ID214,With seasonality,With trend
ID215,With seasonality,With trend
ID216,With seasonality,With trend
ID217,No seasonality,With trend
ID218,No seasonality,No trend
ID219,No seasonality,With trend
ID22,With seasonality,No trend
ID220,With seasonality,With trend
ID221,With seasonality,With trend
ID222,With seasonality,With trend
ID223,With seasonality,With trend
ID224,With seasonality,With trend
ID225,With seasonality,With trend
ID226,With seasonality,With trend
ID227,With seasonality,With trend
ID228,With seasonality,With trend
ID229,With seasonality,With trend
ID23,No seasonality,With trend
ID230,With seasonality,With trend
ID231,With seasonality,With trend
ID232,With seasonality,With trend
ID233,With seasonality,No trend
ID234,With seasonality,With trend
ID235,With seasonality,With trend
ID236,With seasonality,With trend
ID237,With seasonality,With trend
ID238,With seasonality,With trend
ID239,With seasonality,With trend
ID24,With seasonality,With trend
ID240,With seasonality,No trend
ID241,With seasonality,With trend
ID242,With seasonality,With trend
ID243,With seasonality,With trend
ID244,With seasonality,With trend
ID245,With seasonality,With trend
ID246,With seasonality,With trend
ID247,With seasonality,With trend
ID248,With seasonality,With trend
ID249,With seasonality,With trend
ID25,With seasonality,With trend
ID250,With seasonality,No trend
ID251,No seasonality,No trend
ID252,No seasonality,No trend
ID253,With seasonality,No trend
ID254,No seasonality,No trend
ID255,With seasonality,With trend
ID256,With seasonality,With trend
ID257,No seasonality,With trend
ID258,With seasonality,No trend
ID259,With seasonality,With trend
ID26,No seasonality,With trend
ID260,With seasonality,No trend
ID261,With seasonality,With trend
ID262,With seasonality,With trend
ID263,With seasonality,With trend
ID264,With seasonality,With trend
ID265,No seasonality,No trend
ID266,No seasonality,With trend
ID267,With seasonality,With trend
ID268,With seasonality,With trend
ID269,With seasonality,No trend
ID27,With seasonality,With trend
