unique_id,ds,DT,RF,KNN,LGBl,Ridge,Lasso,Elastic-net,XGB,LGB,y
ID0,1978-10-31,843637.0,611032.4,774397.44,1386506.1312674903,1088364.4,1175460.9,1350738.9,1162630.2,1326889.2,1394260.0
ID0,1978-11-30,1109350.7272727273,611032.4,771125.06,1337080.9127542754,1035533.8,1168551.8,1370957.8,1051164.6,1213270.5,950071.0
ID0,1978-12-31,1440270.0,611032.4,771125.1,1335936.8532309053,1068160.8,1188820.5,1391176.6,1070476.1,1120978.4,675046.0
ID0,1979-01-31,1782530.0,611032.4,768245.6,1662237.409193795,1425235.6,1448011.0,1411395.5,1228548.8,1354535.5,2196870.0
ID0,1979-02-28,1782530.0,611032.4,768245.6,1748289.8567333433,1502080.8,1571243.5,1431614.4,1387969.8,1384895.8,1330660.0
ID0,1979-03-31,1440270.0,611032.4,768245.6,1616936.2358125143,1316695.1,1383969.0,1451833.2,1356472.1,1261059.2,894202.0
ID0,1979-04-30,1782530.0,611032.4,768245.6,1830883.9914075634,1533217.8,1554031.4,1472052.1,1395067.5,1500482.9,1972540.0
ID0,1979-05-31,1440270.0,611032.4,760888.5,1657906.390930301,1322789.4,1384976.9,1492271.0,1300713.9,1276422.0,1656590.0
ID1,1983-12-31,240.93742928605465,106.212616,116.729805,124.84925125959164,125.327736,124.44879,124.85774,118.095665,125.4634,124.18
ID1,1984-01-31,240.93742928605465,106.212616,117.0076,126.96281119645555,128.44579,125.90867,125.51549,117.54949,127.52243,123.84
ID1,1984-02-29,240.93742928605465,106.212616,117.090195,127.100480241997,127.21265,125.385185,126.17323,115.72564,126.625244,131.1
ID1,1984-03-31,240.93742928605465,106.212616,116.78279,128.17537669882662,130.3486,127.29178,126.83098,116.41933,129.19774,125.26
ID1,1984-04-30,240.93742928605465,106.212616,115.807396,129.02967223730258,129.70464,127.47223,127.48872,115.59821,129.81985,121.02
ID1,1984-05-31,240.93742928605465,106.212616,112.24521,126.98036835251274,125.317795,125.25878,128.14647,112.782166,124.366165,119.56
ID1,1984-06-30,240.93742928605465,106.212616,112.2954,127.96541220548147,132.05846,129.64185,128.80421,115.78818,126.45454,119.31
ID1,1984-07-31,240.93742928605465,106.212616,113.41521,131.13279441633867,137.22023,133.93732,129.46196,120.54286,129.76242,137.35
ID10,1986-02-28,2282.6085100674163,3497.0298,3674.5767,3743.682941763633,3800.5024,3840.5972,3839.1736,3386.2507,3743.4614,3269.0
ID10,1986-03-31,2282.6085100674163,3606.5562,3651.1082,3696.443854065061,4019.9348,4016.153,3856.3472,3457.927,4047.7437,4905.0
ID10,1986-04-30,2282.6085100674163,3504.4683,3668.775,3724.140986820323,3934.5776,4052.63,3873.5208,3335.5806,3966.8523,4340.0
ID10,1986-05-31,2282.6085100674163,3426.0464,3600.6775,3589.196616727159,3542.8462,3771.7808,3890.6943,2893.4949,3490.8865,3525.0
ID10,1986-06-30,2282.6085100674163,3396.5137,3664.4453,3629.7383751165553,4115.858,4217.1655,3907.868,2888.06,3905.6345,5073.0
ID10,1986-07-31,2282.6085100674163,3396.5137,3717.0513,3720.9357626020105,3971.7708,4099.4424,3925.0415,2846.1345,3775.3064,4191.0
ID10,1986-08-31,2282.6085100674163,4603.6196,3817.61,4256.191448920759,4623.229,4683.1724,3942.215,2737.2483,4081.6196,4555.0
ID10,1986-09-30,2282.6085100674163,3864.6836,3694.76,4130.410476451259,4064.5474,4226.977,3959.3887,2636.324,3742.526,5075.0
ID100,1982-10-31,240.93742928605465,106.212616,14.765201,24.979866536615,15.178066,14.992114,14.280207,14.946748,15.0494995,14.14
ID100,1982-11-30,240.93742928605465,106.212616,14.776799,30.09057273490584,14.906611,14.844637,14.270413,15.065935,14.656015,13.07
ID100,1982-12-31,240.93742928605465,106.212616,14.809199,33.394812321849464,14.604027,14.603806,14.26062,14.924464,14.482617,14.05
ID100,1983-01-31,240.93742928605465,106.212616,14.7081995,36.50784237289531,14.572392,14.61035,14.250827,14.728827,14.39575,14.17
ID100,1983-02-28,240.93742928605465,106.212616,14.770599,40.129644148824944,14.458403,14.500496,14.241034,14.6478615,14.109186,14.31
ID100,1983-03-31,240.93742928605465,106.212616,14.8458,43.28186329667224,14.786566,14.825913,14.23124,14.803804,14.412516,14.66
ID100,1983-04-30,240.93742928605465,106.212616,14.861,45.674699277051225,14.253521,14.366601,14.221447,14.537552,14.045456,14.46
ID100,1983-05-31,240.93742928605465,106.212616,14.7638,48.041508405741965,14.880564,14.882543,14.211654,14.943169,14.31344,14.82
ID101,1981-05-31,13908.592720483055,15609.175,13224.8,15001.586774137875,15491.737,15725.791,15937.896,16447.61,14419.822,15596.0
ID101,1981-06-30,13908.592720483055,15927.207,12964.478,15157.865432389364,14996.985,14746.601,16045.793,16035.808,14005.376,15414.0
ID101,1981-07-31,13908.592720483055,16842.508,12359.036,15295.474290701757,15010.293,14891.007,16153.689,15470.152,14139.954,12970.0
ID101,1981-08-31,9410.188324988108,10102.238,10358.867,11342.7433459298,10946.132,12118.889,16261.586,12833.383,9868.953,8833.0
ID101,1981-09-30,13908.592720483055,12317.338,11170.909,12833.47051380012,14076.954,13783.117,16369.482,12250.1875,13053.157,15611.0
ID101,1981-10-31,9410.188324988108,10807.436,10541.546,12199.700461899665,12987.664,13278.451,16477.379,11701.205,12039.318,14041.0
ID101,1981-11-30,9410.188324988108,10358.105,10217.24,11633.304377042119,12221.312,13080.142,16585.275,10883.067,11594.559,10111.0
ID101,1981-12-31,9410.188324988108,10474.175,10499.178,11027.45252582462,12043.613,13171.446,16693.172,10316.465,11393.522,9821.0
ID102,1981-05-31,240.93742928605465,716.5991,493.33,533.6546381234807,600.1441,631.7078,641.7378,568.9327,589.1318,622.0
ID102,1981-06-30,240.93742928605465,743.27295,480.5818,525.781145134527,492.85568,530.27386,645.4756,474.67578,517.056,514.0
ID102,1981-07-31,240.93742928605465,743.27295,453.42596,486.4273584970618,504.5546,547.1879,649.2134,430.39792,536.9056,487.0
ID102,1981-08-31,240.93742928605465,672.9936,436.40198,451.37564231903104,408.03476,485.5155,652.9512,370.6499,484.75446,338.0
ID102,1981-09-30,240.93742928605465,743.27295,468.6076,492.4874844030692,603.55225,593.7039,656.68896,469.45142,691.91534,368.0
ID102,1981-10-31,240.93742928605465,743.27295,461.8916,458.98051674532263,516.84314,552.3163,660.42676,435.61884,613.83026,344.0
ID102,1981-11-30,240.93742928605465,672.9936,468.7084,428.7626994523643,438.0588,503.6573,664.16455,403.6491,539.7063,448.0
ID102,1981-12-31,240.93742928605465,743.27295,471.44437,463.4972542865606,597.9581,613.4886,667.90234,479.4345,693.8612,530.0
ID103,1981-10-31,9410.188324988108,9609.645,7580.0474,8697.243379603284,8298.54,8527.581,8741.778,8760.301,8298.643,7500.0
ID103,1981-11-30,9410.188324988108,9334.325,7642.8965,8557.975729745805,7977.713,8153.3716,8723.557,8744.766,8099.619,8305.0
ID103,1981-12-31,9410.188324988108,9617.404,7670.6875,9038.220556932645,8485.43,8540.728,8705.335,9251.44,8476.952,7642.0
ID103,1982-01-31,5764.889800132632,8012.9873,7119.5776,7384.502802868777,7107.9453,7392.544,8687.113,8386.054,6771.621,6154.0
ID103,1982-02-28,9410.188324988108,8196.868,7499.259,8125.777821307473,8161.4946,7972.4707,8668.892,8592.272,8100.917,8350.0
ID103,1982-03-31,9410.188324988108,8635.434,7519.0425,8497.058536834766,8406.846,8168.53,8650.67,8629.566,7851.857,9841.0
ID103,1982-04-30,5764.889800132632,7904.449,7342.2036,7515.859942969467,7291.3755,7412.0645,8632.448,8323.047,6993.9478,8356.0
ID103,1982-05-31,5764.889800132632,6718.957,7284.004,7050.761788542241,7115.8887,7363.0,8614.227,7879.2207,7135.0474,7436.0
ID104,1984-02-29,240.93742928605465,106.212616,299.8078,313.8436477525995,289.78635,297.36447,325.82635,313.9588,287.30078,272.3
ID104,1984-03-31,240.93742928605465,106.212616,294.6352,310.6638628867403,295.02518,296.34662,325.1527,317.15662,294.86783,327.8
ID104,1984-04-30,240.93742928605465,151.89722,321.8134,326.6328101584536,328.3211,316.40973,324.47906,328.08292,345.3736,411.2
ID104,1984-05-31,240.93742928605465,106.212616,298.4848,311.5495174669708,295.2607,292.52,323.80542,319.90833,284.146,308.5
ID104,1984-06-30,240.93742928605465,106.212616,299.3572,308.16600457731636,297.64554,290.4196,323.13177,316.3701,286.6632,340.5
ID104,1984-07-31,240.93742928605465,151.89722,314.0192,325.2688940635111,339.61697,320.8434,322.45813,330.60126,337.56726,407.2
ID104,1984-08-31,240.93742928605465,106.212616,283.7234,305.9098047044555,279.46017,279.4377,321.7845,299.29572,256.6029,291.7
ID104,1984-09-30,240.93742928605465,106.212616,284.2918,287.79498081667003,277.12915,273.4606,321.11084,258.33075,236.43127,254.9
ID105,1984-02-29,240.93742928605465,106.212616,228.32442,238.6514482466374,215.51283,222.45796,245.1645,233.50708,217.24779,200.9
ID105,1984-03-31,240.93742928605465,106.212616,231.40979,233.3087005885736,221.32993,223.51575,244.62901,238.72592,221.18748,239.2
ID105,1984-04-30,240.93742928605465,106.212616,231.813,250.01831402798675,246.01675,238.15654,244.09352,245.45195,259.65497,297.2
ID105,1984-05-31,240.93742928605465,106.212616,231.14099,240.50355707058395,220.40454,219.88016,243.55803,238.43849,216.73618,227.7
ID105,1984-06-30,240.93742928605465,106.212616,231.83961,232.74125632698554,223.51271,219.09898,243.02254,235.73438,219.37117,249.5
ID105,1984-07-31,240.93742928605465,106.212616,231.83359,251.77548583858825,255.24939,242.31677,242.48705,244.53131,253.63136,294.0
ID105,1984-08-31,240.93742928605465,106.212616,230.79597,237.64912977739021,206.37187,208.39444,241.95155,219.31964,191.50632,223.3
ID105,1984-09-30,240.93742928605465,106.212616,233.3692,223.77411732687546,205.42595,204.49396,241.41606,190.22629,176.39267,187.3
ID106,1984-02-29,240.93742928605465,106.212616,24.695,38.549358082595134,25.986248,27.859627,31.317636,29.385557,27.419865,25.4
ID106,1984-03-31,240.93742928605465,106.212616,25.6528,40.532351506674864,24.745228,26.437767,30.935272,28.040348,25.490997,27.2
ID106,1984-04-30,240.93742928605465,106.212616,27.676,47.68033774881605,33.897556,32.410847,30.552908,32.864746,32.46647,32.7
ID106,1984-05-31,240.93742928605465,106.212616,25.236399,50.99398039349586,29.612799,29.489302,30.170544,32.495445,27.823109,25.3
ID106,1984-06-30,240.93742928605465,106.212616,25.222998,52.411226674909805,26.994635,27.27147,29.78818,31.796068,26.613783,26.1
ID106,1984-07-31,240.93742928605465,106.212616,26.345999,57.000059835561856,30.609316,29.413853,29.405815,32.8052,30.004803,32.5
ID106,1984-08-31,240.93742928605465,106.212616,24.097998,57.906661939928675,24.349771,25.316471,29.02345,29.994526,23.672005,26.0
ID106,1984-09-30,240.93742928605465,106.212616,24.543602,56.77119323033939,21.11832,22.910555,28.641087,22.620846,18.134455,11.9
ID107,1984-02-29,240.93742928605465,106.212616,72.838,81.45285529920294,64.074936,64.50396,74.99817,73.12628,68.745445,58.4
ID107,1984-03-31,240.93742928605465,106.212616,74.520996,86.34724248657915,69.93139,68.233894,74.89634,74.338615,69.10244,74.7
ID107,1984-04-30,240.93742928605465,106.212616,75.4088,93.454372508993,72.34243,68.38107,74.79451,76.602104,72.50134,93.1
