unique_id,seasonal_str,trend_str
ID0,No seasonality,With trend
ID1,No seasonality,With trend
ID10,With seasonality,With trend
ID100,With seasonality,With trend
ID101,No seasonality,With trend
ID102,No seasonality,With trend
ID103,With seasonality,With trend
ID104,With seasonality,With trend
ID105,With seasonality,With trend
ID106,With seasonality,With trend
ID107,With seasonality,With trend
ID108,With seasonality,With trend
ID109,With seasonality,With trend
ID11,With seasonality,With trend
ID110,With seasonality,No trend
ID111,With seasonality,With trend
ID112,No seasonality,With trend
ID113,No seasonality,With trend
ID114,With seasonality,With trend
ID115,With seasonality,With trend
ID116,No seasonality,With trend
ID117,No seasonality,With trend
ID118,No seasonality,With trend
ID119,No seasonality,With trend
ID12,With seasonality,With trend
ID120,No seasonality,With trend
ID121,No seasonality,With trend
ID122,No seasonality,With trend
ID123,No seasonality,With trend
ID124,No seasonality,With trend
ID125,With seasonality,With trend
ID126,With seasonality,With trend
ID127,No seasonality,With trend
ID128,No seasonality,With trend
ID129,No seasonality,With trend
ID13,With seasonality,With trend
ID130,With seasonality,With trend
ID131,No seasonality,With trend
ID132,No seasonality,With trend
ID133,No seasonality,With trend
ID134,No seasonality,With trend
ID135,No seasonality,With trend
ID136,With seasonality,With trend
ID137,No seasonality,With trend
ID138,No seasonality,With trend
ID139,No seasonality,With trend
ID14,With seasonality,With trend
ID140,With seasonality,With trend
ID141,With seasonality,With trend
ID142,No seasonality,With trend
ID143,With seasonality,With trend
ID144,With seasonality,With trend
ID145,No seasonality,With trend
ID146,With seasonality,With trend
ID147,With seasonality,With trend
ID148,No seasonality,With trend
ID149,No seasonality,With trend
ID15,No seasonality,With trend
ID150,No seasonality,With trend
ID151,No seasonality,With trend
ID152,No seasonality,With trend
ID153,With seasonality,With trend
ID154,With seasonality,With trend
ID155,With seasonality,With trend
ID156,With seasonality,With trend
ID157,No seasonality,With trend
ID158,No seasonality,With trend
ID159,No seasonality,With trend
ID16,With seasonality,With trend
ID160,No seasonality,With trend
ID161,No seasonality,With trend
ID162,With seasonality,With trend
ID163,With seasonality,With trend
ID164,No seasonality,With trend
ID165,No seasonality,With trend
ID166,No seasonality,With trend
ID167,No seasonality,With trend
ID168,No seasonality,With trend
ID169,With seasonality,With trend
ID17,No seasonality,With trend
ID170,With seasonality,With trend
ID171,With seasonality,With trend
ID172,With seasonality,With trend
ID173,No seasonality,With trend
ID174,No seasonality,With trend
ID175,No seasonality,With trend
ID176,No seasonality,With trend
ID177,No seasonality,With trend
ID178,With seasonality,With trend
ID179,With seasonality,With trend
ID18,No seasonality,With trend
ID180,No seasonality,With trend
ID181,With seasonality,With trend
ID182,With seasonality,With trend
ID183,With seasonality,With trend
ID184,With seasonality,With trend
ID185,With seasonality,With trend
ID186,With seasonality,With trend
ID187,With seasonality,With trend
ID188,With seasonality,With trend
ID189,With seasonality,With trend
ID19,No seasonality,With trend
ID190,With seasonality,No trend
ID191,With seasonality,No trend
ID192,With seasonality,With trend
ID193,With seasonality,With trend
ID194,With seasonality,With trend
ID195,No seasonality,With trend
ID196,No seasonality,No trend
ID197,No seasonality,With trend
ID198,No seasonality,With trend
ID199,With seasonality,With trend
ID2,With seasonality,With trend
ID20,No seasonality,With trend
ID200,With seasonality,With trend
ID201,With seasonality,With trend
ID202,With seasonality,With trend
ID21,With seasonality,With trend
ID22,No seasonality,With trend
ID23,With seasonality,With trend
ID24,With seasonality,With trend
ID25,With seasonality,With trend
ID26,With seasonality,With trend
ID27,No seasonality,With trend
ID28,With seasonality,With trend
ID29,No seasonality,No trend
ID3,With seasonality,With trend
ID30,No seasonality,With trend
ID31,With seasonality,With trend
ID32,No seasonality,No trend
ID33,With seasonality,With trend
ID34,No seasonality,With trend
ID35,With seasonality,With trend
ID36,No seasonality,With trend
ID37,With seasonality,With trend
ID38,No seasonality,With trend
ID39,No seasonality,With trend
ID4,With seasonality,With trend
ID40,No seasonality,With trend
ID41,No seasonality,No trend
ID42,With seasonality,With trend
ID43,With seasonality,With trend
ID44,With seasonality,With trend
ID45,No seasonality,With trend
ID46,With seasonality,With trend
ID47,With seasonality,With trend
ID48,With seasonality,With trend
ID49,With seasonality,With trend
ID5,No seasonality,With trend
ID50,No seasonality,With trend
ID51,With seasonality,With trend
ID52,With seasonality,With trend
ID53,With seasonality,With trend
ID54,With seasonality,With trend
ID55,No seasonality,With trend
ID56,With seasonality,With trend
ID57,With seasonality,With trend
ID58,With seasonality,With trend
ID59,With seasonality,With trend
ID6,With seasonality,With trend
ID60,No seasonality,With trend
ID61,No seasonality,With trend
ID62,No seasonality,With trend
ID63,No seasonality,With trend
ID64,No seasonality,With trend
ID65,With seasonality,With trend
ID66,With seasonality,With trend
ID67,With seasonality,With trend
ID68,With seasonality,With trend
ID69,No seasonality,With trend
ID7,With seasonality,With trend
ID70,With seasonality,With trend
ID71,No seasonality,With trend
ID72,With seasonality,With trend
ID73,With seasonality,With trend
ID74,With seasonality,With trend
ID75,With seasonality,With trend
ID76,With seasonality,With trend
ID77,No seasonality,With trend
ID78,No seasonality,With trend
ID79,No seasonality,With trend
ID8,With seasonality,No trend
ID80,No seasonality,With trend
ID81,No seasonality,With trend
ID82,No seasonality,With trend
ID83,No seasonality,With trend
ID84,With seasonality,With trend
ID85,With seasonality,With trend
ID86,With seasonality,With trend
ID87,No seasonality,With trend
ID88,With seasonality,With trend
ID89,No seasonality,With trend
ID9,With seasonality,With trend
ID90,No seasonality,With trend
ID91,With seasonality,With trend
ID92,With seasonality,With trend
ID93,With seasonality,With trend
ID94,With seasonality,With trend
ID95,With seasonality,With trend
ID96,With seasonality,With trend
ID97,With seasonality,With trend
ID98,With seasonality,With trend
ID99,No seasonality,With trend
