unique_id,seasonal_str,trend_str
m1,With seasonality,With trend
m10,With seasonality,With trend
m100,With seasonality,With trend
m101,With seasonality,With trend
m102,With seasonality,With trend
m103,With seasonality,With trend
m104,With seasonality,With trend
m105,With seasonality,With trend
m106,With seasonality,With trend
m107,With seasonality,With trend
m108,With seasonality,With trend
m109,With seasonality,With trend
m11,With seasonality,With trend
m110,With seasonality,With trend
m111,No seasonality,No trend
m112,With seasonality,No trend
m113,With seasonality,With trend
m114,No seasonality,With trend
m115,No seasonality,No trend
m116,With seasonality,With trend
m117,With seasonality,With trend
m118,With seasonality,With trend
m119,No seasonality,No trend
m12,With seasonality,With trend
m120,With seasonality,With trend
m121,With seasonality,With trend
m122,With seasonality,With trend
m123,With seasonality,With trend
m124,With seasonality,With trend
m125,With seasonality,No trend
m126,With seasonality,No trend
m127,With seasonality,No trend
m128,With seasonality,With trend
m129,With seasonality,With trend
m13,No seasonality,With trend
m130,With seasonality,With trend
m131,With seasonality,With trend
m132,With seasonality,With trend
m133,With seasonality,No trend
m134,With seasonality,No trend
m135,With seasonality,With trend
m136,With seasonality,With trend
m137,With seasonality,With trend
m138,With seasonality,With trend
m139,With seasonality,No trend
m14,With seasonality,With trend
m140,With seasonality,With trend
m141,With seasonality,With trend
m142,With seasonality,With trend
m143,With seasonality,With trend
m144,With seasonality,With trend
m145,With seasonality,With trend
m146,No seasonality,No trend
m147,With seasonality,With trend
m148,With seasonality,With trend
m149,With seasonality,With trend
m15,No seasonality,With trend
m150,With seasonality,With trend
m151,With seasonality,With trend
m152,With seasonality,With trend
m153,With seasonality,With trend
m154,With seasonality,With trend
m155,With seasonality,With trend
m156,With seasonality,With trend
m157,With seasonality,With trend
m158,With seasonality,With trend
m159,With seasonality,With trend
m16,No seasonality,With trend
m160,No seasonality,No trend
m161,With seasonality,With trend
m162,With seasonality,With trend
m163,With seasonality,With trend
m164,With seasonality,With trend
m165,With seasonality,With trend
m166,With seasonality,With trend
m167,With seasonality,No trend
m168,No seasonality,With trend
m169,With seasonality,With trend
m17,No seasonality,With trend
m170,With seasonality,No trend
m171,No seasonality,With trend
m172,With seasonality,With trend
m173,With seasonality,With trend
m174,With seasonality,With trend
m175,With seasonality,With trend
m176,With seasonality,With trend
m177,With seasonality,With trend
m178,With seasonality,With trend
m179,With seasonality,With trend
m18,No seasonality,With trend
m180,With seasonality,With trend
m181,With seasonality,With trend
m182,With seasonality,With trend
m183,With seasonality,With trend
m184,With seasonality,No trend
m185,No seasonality,With trend
m186,With seasonality,With trend
m187,With seasonality,With trend
m188,With seasonality,With trend
m189,With seasonality,With trend
m19,With seasonality,With trend
m190,With seasonality,With trend
m191,With seasonality,With trend
m192,With seasonality,With trend
m193,With seasonality,With trend
m194,With seasonality,With trend
m195,With seasonality,With trend
m196,With seasonality,With trend
m197,With seasonality,With trend
m198,With seasonality,With trend
m199,No seasonality,With trend
m2,With seasonality,With trend
m20,With seasonality,With trend
m200,With seasonality,With trend
m201,With seasonality,With trend
m202,With seasonality,With trend
m203,With seasonality,With trend
m204,With seasonality,With trend
m205,With seasonality,With trend
m206,With seasonality,With trend
m207,With seasonality,With trend
m208,With seasonality,With trend
m209,With seasonality,With trend
m21,With seasonality,With trend
m210,With seasonality,With trend
m211,With seasonality,With trend
m212,With seasonality,With trend
m213,With seasonality,With trend
m214,With seasonality,With trend
m215,With seasonality,With trend
m216,With seasonality,With trend
m217,With seasonality,With trend
m218,With seasonality,With trend
m219,With seasonality,With trend
m22,With seasonality,With trend
m220,No seasonality,With trend
m221,With seasonality,With trend
m222,With seasonality,With trend
m223,With seasonality,With trend
m224,With seasonality,With trend
m225,No seasonality,With trend
m226,With seasonality,With trend
m227,With seasonality,With trend
m228,With seasonality,With trend
m229,No seasonality,With trend
m23,With seasonality,With trend
m230,With seasonality,With trend
m231,With seasonality,With trend
m232,With seasonality,With trend
m233,With seasonality,With trend
m234,With seasonality,With trend
m235,With seasonality,With trend
m236,With seasonality,With trend
m237,With seasonality,With trend
m238,With seasonality,With trend
