unique_id,ds,AutoKAN,AutoMLP,AutoGRU,AutoLSTM,AutoDLinear,AutoDeepAR,AutoDeepAR-median,AutoDeepAR-lo-90,AutoDeepAR-lo-80,AutoDeepAR-hi-80,AutoDeepAR-hi-90,AutoNHITS,AutoDeepNPTS,AutoAutoformer,AutoInformer,AutoTCN,AutoDilatedRNN,y
M1,1994-09-30,1937.654,3150.816,2696.0078,2804.604,2040.4608,2587.279,2792.9602,225.65416,924.71606,3996.9075,4803.637,2756.3503,1996.2333,-135669.61,1913.4066,2262.6658,2629.8667,1560.0
M1,1994-10-31,1728.2645,2016.5615,2735.3914,2917.6545,1853.9169,2246.8743,2302.0464,483.18158,719.74805,3698.3596,4353.7896,2472.8596,2019.881,-140128.42,2115.6008,2413.1902,2688.2952,1440.0
M1,1994-11-30,1910.0946,2487.11,2815.8591,2983.0564,2074.3206,2947.033,2864.1567,1194.4866,1469.6116,4882.192,5308.549,2708.151,3129.1978,-137171.75,2573.967,2526.9307,2741.3281,240.0
M1,1994-12-31,2596.1572,2899.1375,2895.1245,3031.8123,2514.8535,2727.511,2717.0596,840.92535,1302.797,4319.432,4752.417,3214.3848,3163.239,-121983.81,3252.1155,2508.4282,2739.2747,1800.0
M1,1995-01-31,1496.7549,1974.3794,2862.509,2957.1968,1744.0277,2503.212,2498.173,703.5034,1136.2566,4204.5474,4385.8555,2594.424,2759.1987,-130960.24,2306.8618,2265.8674,2717.2214,4680.0
M1,1995-02-28,1892.0625,1994.218,2794.5564,2858.9492,2033.5817,2560.58,2815.1064,-642.86865,846.01227,4172.9634,4815.469,2448.437,1910.0002,-122033.21,1823.037,2262.603,2791.2012,1800.0
M1,1995-03-31,2181.9478,2566.9583,2677.9482,2704.6182,1834.9218,2734.8943,2783.8171,900.4653,1322.4104,4356.358,4564.569,2554.209,2088.5679,-104480.43,1629.3384,2279.1025,2809.5657,1680.0
M1,1995-04-30,1435.589,1536.233,2622.216,2563.532,1468.1158,2635.5693,2421.0615,464.28387,1067.9199,4712.5264,5522.051,2225.186,1088.8555,-96075.336,1390.0283,1991.3467,2869.4148,3720.0
M1,1995-05-31,2731.0925,2884.146,2386.876,2471.5322,2964.104,2343.8523,2405.2593,276.73392,567.5283,3854.6882,4109.0913,2709.5454,1765.6155,-90752.94,1289.022,2041.4402,2807.8608,2160.0
M1,1995-06-30,1432.1833,2034.9434,2225.7192,2417.8445,1669.7222,2361.7087,2473.1592,121.72566,697.65137,3746.5588,3981.8428,2154.577,1643.1279,-129872.21,1106.4932,1992.5042,2774.0024,480.0
