unique_id,ds,RWD,SeasonalNaive,AutoETS,AutoARIMA,AutoTheta,SESOpt,CrostonOptimized,WindowAverage,y
M1,1994-09-30,2517.818,4800.0,3458.5278,1836.6421,2708.2825,2646.5898,2646.5898,2960.0,1560.0
M1,1994-10-31,2515.6365,3000.0,3458.5278,1338.5929,2701.1528,2646.5898,2646.5898,2960.0,1440.0
M1,1994-11-30,2513.4546,3120.0,3458.5278,975.60156,2694.023,2646.5898,2646.5898,2960.0,240.0
M1,1994-12-31,2511.2727,5880.0,3458.5278,711.044,2686.893,2646.5898,2646.5898,2960.0,1800.0
M1,1995-01-31,2509.0908,2640.0,3458.5278,518.2275,2679.7632,2646.5898,2646.5898,2960.0,4680.0
M1,1995-02-28,2506.9092,2400.0,3458.5278,377.69778,2672.6333,2646.5898,2646.5898,2960.0,1800.0
M1,1995-03-31,2504.7273,2280.0,3458.5278,275.27606,2665.5034,2646.5898,2646.5898,2960.0,1680.0
M1,1995-04-30,2502.5454,480.0,3458.5278,200.6284,2658.3738,2646.5898,2646.5898,2960.0,3720.0
M1,1995-05-31,2500.3635,5040.0,3458.5278,146.22324,2651.244,2646.5898,2646.5898,2960.0,2160.0
M1,1995-06-30,2498.182,1920.0,3458.5278,106.57133,2644.114,2646.5898,2646.5898,2960.0,480.0
M1,1995-07-31,2496.0,840.0,3458.5278,77.671974,2636.9841,2646.5898,2646.5898,2960.0,2040.0
M1,1995-08-31,2493.818,2520.0,3458.5278,56.60937,2629.8542,2646.5898,2646.5898,2960.0,1440.0
M10,1994-09-30,4262.5454,5440.0,4602.5815,4227.376,4689.1895,4558.6987,4671.469,4697.5,4540.0
M10,1994-10-31,4265.091,5260.0,4602.5815,3906.0085,4690.913,4558.6987,4671.469,4697.5,2900.0
M10,1994-11-30,4267.636,5060.0,4602.5815,3606.2039,4692.6367,4558.6987,4671.469,4697.5,4500.0
M10,1994-12-31,4270.1816,3460.0,4602.5815,2892.3052,4694.36,4558.6987,4671.469,4697.5,3540.0
M10,1995-01-31,4272.727,6260.0,4602.5815,3580.4248,4696.084,4558.6987,4671.469,4697.5,3840.0
M10,1995-02-28,4275.273,6140.0,4602.5815,3372.859,4697.807,4558.6987,4671.469,4697.5,4080.0
M10,1995-03-31,4277.8184,4380.0,4602.5815,2668.886,4699.531,4558.6987,4671.469,4697.5,3620.0
M10,1995-04-30,4280.364,5080.0,4602.5815,2752.2837,4701.2544,4558.6987,4671.469,4697.5,3820.0
M10,1995-05-31,4282.909,4740.0,4602.5815,2523.864,4702.978,4558.6987,4671.469,4697.5,4880.0
M10,1995-06-30,4285.4546,3800.0,4602.5815,2120.0974,4704.7017,4558.6987,4671.469,4697.5,2800.0
M10,1995-07-31,4288.0,5060.0,4602.5815,2417.6465,4706.425,4558.6987,4671.469,4697.5,3640.0
M10,1995-08-31,4290.5454,4260.0,4602.5815,2079.4824,4708.1484,4558.6987,4671.469,4697.5,4100.0
M100,1994-10-31,5318.0356,5200.0,5644.9272,5444.996,5592.2085,5632.778,5688.171,5952.0835,5090.0
M100,1994-11-30,5206.0713,5700.0,5631.243,5653.1606,5567.5854,5632.778,5688.171,5952.0835,5520.0
M100,1994-12-31,5094.107,6790.0,5618.1504,5897.955,5543.2563,5632.778,5688.171,5952.0835,6180.0
M100,1995-01-31,4982.143,7230.0,5605.6226,6107.607,5519.213,5632.778,5688.171,5952.0835,6620.0
M100,1995-02-28,4870.1787,6230.0,5593.6353,5790.689,5495.4473,5632.778,5688.171,5952.0835,5510.0
M100,1995-03-31,4758.2144,5480.0,5582.1655,5546.5293,5471.952,5632.778,5688.171,5952.0835,5410.0
M100,1995-04-30,4646.25,5160.0,5571.191,5518.8457,5448.7197,5632.778,5688.171,5952.0835,4810.0
M100,1995-05-31,4534.2856,5210.0,5560.69,5593.1045,5425.743,5632.778,5688.171,5952.0835,4840.0
M100,1995-06-30,4422.3213,5750.0,5550.6426,5645.872,5403.0166,5632.778,5688.171,5952.0835,5960.0
M100,1995-07-31,4310.3574,5920.0,5541.0283,5727.6104,5380.5327,5632.778,5688.171,5952.0835,4860.0
M100,1995-08-31,4198.3926,5950.0,5531.8296,5749.5537,5358.2856,5632.778,5688.171,5952.0835,5050.0
M100,1995-09-30,4086.4287,5430.0,5523.028,5624.4062,5336.2695,5632.778,5688.171,5952.0835,4360.0
M1000,1993-03-31,4639.86,4451.8,4637.362,4632.2,4627.953,4630.2603,4584.953,4469.9834,4625.6
M1000,1993-04-30,4647.519,4496.0,4644.978,4632.2,4644.704,4630.2603,4584.953,4469.9834,4668.2
M1000,1993-05-31,4655.1787,4494.8,4652.5938,4632.2,4664.021,4630.2603,4584.953,4469.9834,4598.0
M1000,1993-06-30,4662.8384,4505.8,4660.2095,4632.2,4676.38,4630.2603,4584.953,4469.9834,4619.4
M1000,1993-07-31,4670.4976,4501.2,4667.825,4632.2,4659.749,4630.2603,4584.953,4469.9834,4640.4
M1000,1993-08-31,4678.157,4554.6,4675.4414,4632.2,4694.566,4630.2603,4584.953,4469.9834,4656.0
M1000,1993-09-30,4685.817,4580.6,4683.057,4632.2,4698.814,4630.2603,4584.953,4469.9834,4665.8
M1000,1993-10-31,4693.476,4563.4,4690.673,4632.2,4721.7573,4630.2603,4584.953,4469.9834,4687.4
M1000,1993-11-30,4701.1357,4551.8,4698.289,4632.2,4715.8276,4630.2603,4584.953,4469.9834,4695.4
M1000,1993-12-31,4708.7954,4577.4,4705.905,4632.2,4722.7207,4630.2603,4584.953,4469.9834,4669.4
M1000,1994-01-31,4716.4546,4592.4,4713.5205,4632.2,4696.399,4630.2603,4584.953,4469.9834,4669.8
M1000,1994-02-28,4724.1143,4632.2,4721.136,4632.2,4725.417,4630.2603,4584.953,4469.9834,4663.6
M1001,1993-03-31,6706.827,6405.0,6696.395,6687.999,6711.1504,6691.722,6661.3374,6483.7085,6723.3
M1001,1993-04-30,6722.0547,6401.6,6701.187,6686.986,6727.9478,6691.722,6661.3374,6483.7085,6830.8
M1001,1993-05-31,6737.2817,6489.6,6705.021,6686.7007,6753.161,6691.722,6661.3374,6483.7085,6790.2
M1001,1993-06-30,6752.5093,6456.6,6708.0884,6686.6206,6765.621,6691.722,6661.3374,6483.7085,6766.0
M1001,1993-07-31,6767.7363,6527.1,6710.542,6686.5977,6787.305,6691.722,6661.3374,6483.7085,6777.5
M1001,1993-08-31,6782.964,6634.5,6712.505,6686.5913,6808.0923,6691.722,6661.3374,6483.7085,6783.0
M1001,1993-09-30,6798.191,6643.4,6714.0757,6686.59,6823.8857,6691.722,6661.3374,6483.7085,6730.0
M1001,1993-10-31,6813.4185,6684.1,6715.332,6686.5894,6832.4146,6691.722,6661.3374,6483.7085,6697.3
M1001,1993-11-30,6828.6455,6675.2,6716.337,6686.589,6853.2505,6691.722,6661.3374,6483.7085,6645.5
M1001,1993-12-31,6843.873,6644.0,6717.141,6686.589,6860.9575,6691.722,6661.3374,6483.7085,6590.9
M1001,1994-01-31,6859.1,6704.4,6717.784,6686.589,6848.7715,6691.722,6661.3374,6483.7085,6595.3
M1001,1994-02-28,6874.327,6691.6,6718.299,6686.589,6883.9985,6691.722,6661.3374,6483.7085,6646.9
M1002,1993-03-31,5806.6943,5420.0,5816.632,5809.678,5803.1646,5793.784,5716.5044,5399.05,5878.6
M1002,1993-04-30,5819.1885,5467.2,5839.0654,5827.778,5812.451,5793.784,5716.5044,5399.05,5966.0
