unique_id,ds,AutoKAN,AutoMLP,AutoGRU,AutoLSTM,AutoDLinear,AutoDeepAR,AutoDeepAR-median,AutoDeepAR-lo-90,AutoDeepAR-lo-80,AutoDeepAR-hi-80,AutoDeepAR-hi-90,AutoNHITS,AutoDeepNPTS,AutoAutoformer,AutoInformer,AutoTCN,AutoDilatedRNN,y
q1,2022-01-01,7160.0854,7407.2188,7368.3955,7283.4976,6321.3057,6995.742,7049.345,6381.1733,6559.249,7368.5977,7567.7104,7535.41,8298.52,,7777.754,7410.7876,7266.195,6915.52
q1,2022-04-01,5840.065,5838.0146,5883.1675,5184.7153,7609.407,5577.813,5563.8193,5048.9834,5171.466,5984.748,6193.672,5857.776,6394.41,,5990.209,4889.3687,5925.0503,5696.01
q1,2022-07-01,9848.593,9296.24,9656.295,9389.024,12360.166,9439.388,9375.184,8293.281,8618.621,10382.191,10681.421,10112.328,9772.464,,10232.064,10837.886,9551.575,9507.025
q1,2022-10-01,17284.426,17583.578,18045.611,17916.693,17428.797,16509.115,16543.03,15039.757,15336.833,17732.207,18103.373,17546.613,16719.014,,16290.327,16900.88,17970.602,17469.63
q1,2023-01-01,7481.7744,8133.3247,7818.2466,7625.3223,7914.665,7022.084,7022.443,6388.9365,6582.7534,7497.307,7641.5137,8665.163,9899.21,,8136.4473,7825.7427,7573.909,7672.665
q1,2023-04-01,6037.198,5997.7964,5883.3057,5295.2954,8689.031,5806.746,5809.9795,4935.6772,5056.0596,6500.515,6662.7153,6684.4243,7384.308,,6068.934,5145.7144,6069.802,6407.285
q1,2023-07-01,10124.547,9923.318,9985.879,9672.018,12854.047,9748.351,9651.229,8465.718,8811.245,10842.5,11227.504,11148.599,10590.965,,11159.853,11423.106,9811.209,10330.3
q1,2023-10-01,18479.734,18607.701,18879.227,18354.742,19932.668,16684.102,16587.625,14236.724,14556.803,19069.473,19553.479,19474.223,16721.395,,18357.172,16850.617,18525.041,6995.05
q10,2022-01-01,76146.31,90641.49,77488.414,74071.94,71504.734,75211.46,74910.34,57347.957,63283.543,88477.836,91643.125,95213.4,78323.23,,92245.61,74361.875,79786.336,86979.0
q10,2022-04-01,104499.66,80765.04,82934.71,83666.2,88863.11,101627.25,102386.36,72496.92,80790.164,119914.664,126044.305,92989.81,93557.87,,98696.38,79071.16,94120.875,104594.0
q10,2022-07-01,90734.31,95422.13,88906.72,90631.734,90058.22,91891.016,89703.164,75071.9,76932.11,109482.01,117627.37,100127.625,92204.625,,102380.484,96653.61,88328.55,83742.0
q10,2022-10-01,99365.734,106299.125,102217.76,102174.5,95935.12,103235.695,102268.586,75396.59,79850.16,124438.6,129577.9,109250.53,96874.67,,107966.53,99870.914,97288.85,115734.0
q10,2023-01-01,83431.83,107818.55,81280.14,77399.02,76444.76,82448.22,80969.47,64502.758,69773.484,97875.695,101084.1,107476.34,84465.41,,99335.36,77572.67,82737.05,99216.0
q10,2023-04-01,113031.74,93286.766,85510.78,86706.234,91358.55,109015.0,108181.51,76625.06,84386.4,131174.4,145084.03,105275.63,95599.945,,116791.06,79361.11,95980.72,136031.0
q10,2023-07-01,98396.83,113435.016,92061.3,93330.79,97572.31,100217.96,98244.766,76918.45,81522.65,124285.12,130529.16,114399.27,95907.22,,110479.67,99404.2,89777.2,95582.0
q10,2023-10-01,108732.62,127845.47,104364.34,106284.08,102229.27,110054.68,110100.28,83603.664,86703.79,136438.14,148814.77,124246.75,96911.984,,124947.625,102955.09,99468.26,123212.0
q100,2022-01-01,30517.627,30603.229,32053.156,32485.887,34997.51,32928.79,32776.75,28968.25,29536.016,36005.793,39001.797,31501.303,30479.275,,32222.93,29653.979,31065.826,35317.0
