unique_id,ds,RWD,SeasonalNaive,AutoETS,AutoARIMA,AutoTheta,SESOpt,CrostonOptimized,WindowAverage,y
ID0,1985-06-30,2.8405404,6.79,2.9756186,2.7906892,2.8421054,2.7847798,4.007214,4.4575,2.25
ID0,1985-09-30,2.901081,5.02,1.9235504,2.282877,2.8988578,2.7847798,4.007214,4.4575,1.02
ID1,1989-06-30,101.070175,109.0,100.9995,101.0,101.06215,100.991,102.37072,105.0,99.0
ID1,1989-09-30,101.14035,110.0,100.9995,101.0,101.13259,100.991,102.37072,105.0,99.0
ID10,1989-12-31,145.42554,152.0,117.86933,124.77368,118.79021,141.49013,145.47574,140.0,121.0
ID10,1990-03-31,147.85106,132.0,149.4775,113.74286,150.82022,141.49013,145.47574,140.0,154.0
ID100,1982-03-31,320.9,337.5,356.8757,379.14154,374.41397,331.0447,318.0285,346.25,239.3
ID100,1982-06-30,332.7,343.3,370.24124,365.24838,388.29666,331.0447,318.0285,346.25,424.0
ID101,1995-06-30,138.96986,124.1,139.67429,142.90846,138.63748,138.13145,129.16743,129.925,145.6
ID101,1995-09-30,139.73972,126.0,141.14914,146.04916,139.10933,138.13145,129.16743,129.925,150.5
ID102,1986-06-30,15474.947,14504.0,15806.074,15363.69,15391.137,15315.7,14796.883,15150.0,15468.0
ID102,1986-09-30,15637.895,15096.0,16097.187,15505.361,15673.622,15315.7,14796.883,15150.0,16516.0
ID103,1980-06-30,197.54546,152.0,178.99068,172.28114,180.04738,191.54568,177.4678,178.0,181.0
ID103,1980-09-30,201.09091,180.0,202.58229,195.23424,203.72183,191.54568,177.4678,178.0,204.0
ID104,1986-06-30,512.1053,402.0,481.90515,501.94125,471.06805,502.62827,442.01913,450.75,492.0
ID104,1986-09-30,519.2105,455.0,510.9107,531.3511,495.64478,502.62827,442.01913,450.75,546.0
ID105,1986-06-30,187.1228,157.0,175.50433,175.89415,173.63748,184.82748,174.01521,176.25,179.0
ID105,1986-09-30,189.24562,178.0,192.61967,194.08447,189.08841,184.82748,174.01521,176.25,189.0
ID106,1982-06-30,151.37692,159.4,143.13455,148.1,147.23335,143.20966,138.90587,144.075,160.7
ID106,1982-09-30,154.65385,140.9,143.13455,148.1,149.75874,143.20966,138.90587,144.075,111.8
ID107,1986-06-30,135.94737,116.0,129.63127,133.48598,129.10925,134.30986,125.069046,126.0,133.0
ID107,1986-09-30,136.89473,122.0,134.07578,136.51189,133.27718,134.30986,125.069046,126.0,138.0
ID108,1987-06-30,4692.5405,4587.0,4826.8794,4735.069,4784.9146,4541.2817,4393.795,4627.0,4206.0
ID108,1987-09-30,4798.081,5127.0,5665.3066,5079.965,5631.482,4541.2817,4393.795,4627.0,4778.0
ID109,1987-06-30,13751.405,13464.0,14292.257,14222.0,14305.871,13460.065,13149.033,13699.5,13280.0
ID109,1987-09-30,14038.811,14817.0,15432.447,15575.0,15458.347,13460.065,13149.033,13699.5,3584.0
ID11,1982-06-30,278.05884,203.0,273.9944,269.70493,275.67847,273.43423,245.3238,213.75,211.0
ID11,1982-09-30,282.11765,160.0,273.9944,265.47717,277.90027,273.43423,245.3238,213.75,288.0
ID110,1987-03-31,99.77143,144.0,111.03669,59.199505,106.549225,109.02935,114.17106,118.25,130.0
ID110,1987-06-30,99.542854,104.0,111.03669,56.07235,109.95434,109.02935,114.17106,118.25,104.0
ID111,1987-03-31,2934.0,2881.0,2935.9092,3431.0583,2833.8145,2904.9583,2778.8323,2897.25,3365.0
ID111,1987-06-30,2987.0,2703.0,3033.4226,3182.2905,3015.6152,2904.9583,2778.8323,2897.25,2990.0
ID112,1986-06-30,453.29825,410.0,453.32642,450.0,449.75906,449.96768,424.85968,432.75,468.0
ID112,1986-09-30,456.5965,424.0,456.65353,450.0,453.84137,449.96768,424.85968,432.75,476.0
ID113,1985-06-30,221.42413,230.5,215.69626,239.7631,221.29866,215.32823,210.54214,206.2,253.7
ID113,1985-09-30,227.14827,200.3,215.69626,239.7631,227.20938,215.32823,210.54214,206.2,262.4
ID114,1986-12-31,10064.941,9647.0,11527.035,9676.4375,11625.253,9454.754,8798.913,9054.25,11204.0
ID114,1987-03-31,10269.883,8221.0,11026.015,8542.162,11218.26,9454.754,8798.913,9054.25,10265.0
ID115,1986-06-30,164.7193,145.0,152.91527,152.12424,151.18965,152.07199,145.76196,147.75,155.0
ID115,1986-09-30,166.4386,150.0,160.96027,160.62636,158.37852,152.07199,145.76196,147.75,159.0
ID116,1989-06-30,659.5774,622.2,655.514,655.3477,658.6725,652.82983,632.1393,638.875,658.8
