unique_id,ds,AutoKAN,AutoMLP,AutoGRU,AutoLSTM,AutoDLinear,AutoDeepAR,AutoDeepAR-median,AutoDeepAR-lo-90,AutoDeepAR-lo-80,AutoDeepAR-hi-80,AutoDeepAR-hi-90,AutoNHITS,AutoDeepNPTS,AutoAutoformer,AutoInformer,AutoTCN,AutoDilatedRNN,y
Q1,1993-03-31,5490.0054,5636.763,5523.3584,5542.4214,5516.6133,5480.0386,5493.6475,5326.72,5368.722,5574.807,5620.971,5409.1465,5511.639,5556.6304,5538.3154,5488.896,5519.191,5531.5
Q1,1993-06-30,5497.1445,5870.93,5480.694,5597.6763,5558.509,5443.296,5442.755,5195.13,5281.922,5603.4136,5686.3594,5444.8394,5511.706,5566.0127,5532.3384,5593.1465,5581.2124,5670.6
Q1,1993-09-30,5479.688,5884.7827,5501.3535,5616.389,5621.686,5428.116,5429.0845,5140.1787,5207.0405,5626.671,5700.682,5455.847,5511.637,5545.37,5548.2363,5448.3716,5595.067,5730.0
Q1,1993-12-31,5538.763,5807.945,5628.95,5636.5757,5689.4727,5411.691,5399.703,5115.1235,5194.8804,5630.6406,5703.9155,5500.905,5512.6543,5576.2275,5549.922,5406.944,5629.647,5798.45
Q1,1994-03-31,5572.916,5796.665,5562.0215,5682.0786,5733.8384,5380.853,5360.0356,5078.609,5125.7725,5618.537,5736.7993,5433.5967,5515.8413,5576.987,5546.903,5378.8184,5668.815,5809.05
Q1,1994-06-30,5712.078,6004.715,5547.199,5733.5156,5758.7026,5345.452,5332.2417,4937.409,5014.679,5641.3945,5862.225,5488.678,5518.286,5572.314,5539.2886,5463.916,5725.0254,5707.05
Q1,1994-09-30,5651.4165,6007.2827,5423.7876,5710.8623,5783.3555,5315.6685,5321.995,4923.2544,5016.9614,5663.6143,5799.253,5490.105,5518.6196,5573.5337,5556.723,5356.383,5686.2793,5661.75
Q1,1994-12-31,5717.233,5996.921,5582.2954,5732.8687,5789.3335,5312.405,5279.3965,4899.3545,4942.935,5739.1553,5893.418,5517.3022,5516.7314,5623.0825,5556.901,5244.4897,5697.4443,6176.6
Q10,1993-03-31,6799.9644,6876.949,6817.492,6830.7153,6798.054,6580.4224,6571.5977,6040.3584,6208.6206,6984.7646,7079.2534,6608.6816,6954.27,6855.0337,6790.559,6604.5923,6581.0107,6729.34
Q10,1993-06-30,6777.808,7236.791,6650.834,6722.101,6864.002,6313.3813,6274.9043,5361.7856,5743.9946,6856.338,7299.8086,6664.7524,6981.375,6885.0967,6773.156,6286.283,6458.9785,6675.46
Q10,1993-09-30,7020.8555,7730.19,6405.2217,6635.4893,6996.649,6283.276,6246.194,5150.748,5399.515,6957.1094,7873.485,6677.678,6984.1724,6951.163,6968.764,6474.328,6279.121,7142.94
Q10,1993-12-31,6964.977,7652.434,6481.168,6636.731,7036.9795,6070.346,6006.6724,4932.975,5150.852,6996.766,7428.791,6984.8784,6981.128,6971.612,6937.0903,6251.3115,6123.7866,7308.06
