unique_id,ds,y,is_anomaly
Q1,1993-03-31,5531.5,0
Q1,1993-06-30,5670.6,0
Q1,1993-09-30,5730.0,0
Q1,1993-12-31,5798.45,0
Q1,1994-03-31,5809.05,0
Q1,1994-06-30,5707.05,0
Q1,1994-09-30,5661.75,0
Q1,1994-12-31,6176.6,0
Q10,1993-03-31,6729.34,0
Q10,1993-06-30,6675.46,0
Q10,1993-09-30,7142.94,0
Q10,1993-12-31,7308.06,0
Q10,1994-03-31,7525.5,0
Q10,1994-06-30,7893.78,0
Q10,1994-09-30,8223.88,0
Q10,1994-12-31,8904.28,0
Q100,1993-03-31,3768.0,0
Q100,1993-06-30,4208.0,0
Q100,1993-09-30,4322.0,0
Q100,1993-12-31,4748.0,0
Q100,1994-03-31,4898.0,1
Q100,1994-06-30,5020.0,1
Q100,1994-09-30,5148.0,1
Q100,1994-12-31,5564.0,1
Q101,1993-03-31,7244.0,0
Q101,1993-06-30,7718.0,0
Q101,1993-09-30,7904.0,0
Q101,1993-12-31,9520.0,0
Q101,1994-03-31,7404.0,0
Q101,1994-06-30,8088.0,0
Q101,1994-09-30,8088.0,0
Q101,1994-12-31,9194.0,0
Q102,1993-03-31,6022.2,0
Q102,1993-06-30,7329.0,1
Q102,1993-09-30,7617.1,1
Q102,1993-12-31,7596.8,1
Q102,1994-03-31,7481.6,1
Q102,1994-06-30,5922.1,0
Q102,1994-09-30,7692.6,1
Q102,1994-12-31,7578.6,1
Q103,1993-03-31,2400.0,0
Q103,1993-06-30,2452.0,0
Q103,1993-09-30,2390.0,0
Q103,1993-12-31,2348.0,0
Q103,1994-03-31,2480.0,0
Q103,1994-06-30,2678.0,0
Q103,1994-09-30,2666.0,0
Q103,1994-12-31,3238.0,1
Q104,1993-03-31,2905.0,0
Q104,1993-06-30,2747.0,0
Q104,1993-09-30,3018.0,0
Q104,1993-12-31,3612.0,0
Q104,1994-03-31,2971.0,0
Q104,1994-06-30,2990.0,0
Q104,1994-09-30,4194.0,0
Q104,1994-12-31,4535.0,0
Q105,1993-03-31,2254.0,0
Q105,1993-06-30,2660.0,0
Q105,1993-09-30,2370.0,0
Q105,1993-12-31,2890.0,0
Q105,1994-03-31,2226.0,0
Q105,1994-06-30,2612.0,0
Q105,1994-09-30,2478.0,0
Q105,1994-12-31,2378.0,0
Q106,1992-06-30,5349.2,0
Q106,1992-09-30,5047.8,0
Q106,1992-12-31,5567.6,0
Q106,1993-03-31,5224.6,0
Q106,1993-06-30,5658.6,0
Q106,1993-09-30,5675.4,0
Q106,1993-12-31,5851.6,0
Q106,1994-03-31,5644.2,0
Q107,1993-03-31,4040.0,0
Q107,1993-06-30,4287.0,0
Q107,1993-09-30,4625.0,0
Q107,1993-12-31,6281.0,0
Q107,1994-03-31,4465.0,0
Q107,1994-06-30,4802.0,0
Q107,1994-09-30,5046.0,0
Q107,1994-12-31,6998.0,0
Q108,1992-06-30,6316.2,0
Q108,1992-09-30,6148.2,0
Q108,1992-12-31,6525.6,0
Q108,1993-03-31,5180.4,0
Q108,1993-06-30,7380.6,0
Q108,1993-09-30,6979.8,0
Q108,1993-12-31,7548.6,0
Q108,1994-03-31,6318.9,0
Q109,1993-03-31,4057.5,0
Q109,1993-06-30,3628.7,0
Q109,1993-09-30,3719.7,0
Q109,1993-12-31,4411.8,0
Q109,1994-03-31,4299.9,0
Q109,1994-06-30,4123.4,0
Q109,1994-09-30,4266.5,0
Q109,1994-12-31,4789.0,0
Q11,1993-03-31,5921.4,0
Q11,1993-06-30,5837.9,0
Q11,1993-09-30,5981.7,0
Q11,1993-12-31,6146.8,0
Q11,1994-03-31,6111.9,1
Q11,1994-06-30,6226.35,1
Q11,1994-09-30,6308.9,1
Q11,1994-12-31,6431.1,1
Q110,1993-03-31,8748.5,0
Q110,1993-06-30,8351.7,0
Q110,1993-09-30,9762.5,0
Q110,1993-12-31,8689.5,0
Q110,1994-03-31,8995.9,0
Q110,1994-06-30,8726.9,0
Q110,1994-09-30,9443.9,0
Q110,1994-12-31,8026.7,0
Q111,1993-03-31,6052.75,0
Q111,1993-06-30,5750.95,0
Q111,1993-09-30,6363.05,0
Q111,1993-12-31,8395.2,0
Q111,1994-03-31,6659.8,0
Q111,1994-06-30,6149.3,0
Q111,1994-09-30,6892.05,0
Q111,1994-12-31,8941.5,0
Q112,1993-03-31,5529.0,0
Q112,1993-06-30,5026.5,0
Q112,1993-09-30,6435.5,0
Q112,1993-12-31,5178.5,0
Q112,1994-03-31,5835.0,0
Q112,1994-06-30,5548.5,0
Q112,1994-09-30,6048.5,0
Q112,1994-12-31,5023.5,0
Q113,1993-03-31,4801.7,0
Q113,1993-06-30,4969.8,0
Q113,1993-09-30,5619.25,0
Q113,1993-12-31,6548.05,0
Q113,1994-03-31,5354.4,0
Q113,1994-06-30,5586.7,0
Q113,1994-09-30,6214.85,0
Q113,1994-12-31,7288.0,0
Q114,1993-03-31,5667.8,0
Q114,1993-06-30,5945.1,0
Q114,1993-09-30,6421.8,0
Q114,1993-12-31,6804.6,0
Q114,1994-03-31,6807.3,0
Q114,1994-06-30,7612.2,1
Q114,1994-09-30,8044.6,1
Q114,1994-12-31,8388.6,1
Q115,1993-03-31,4634.3,0
Q115,1993-06-30,4870.4,0
Q115,1993-09-30,4686.8,0
Q115,1993-12-31,5126.5,0
Q115,1994-03-31,4992.1,0
Q115,1994-06-30,5241.5,0
Q115,1994-09-30,5010.2,0
Q115,1994-12-31,5665.9,0
Q116,1992-06-30,6261.0,0
Q116,1992-09-30,6384.5,0
Q116,1992-12-31,7394.0,0
Q116,1993-03-31,6981.0,0
Q116,1993-06-30,6392.5,0
Q116,1993-09-30,5728.0,0
Q116,1993-12-31,7628.5,0
Q116,1994-03-31,6501.5,0
Q117,1993-03-31,3123.86,0
Q117,1993-06-30,3373.52,0
Q117,1993-09-30,3759.42,0
Q117,1993-12-31,4358.68,0
Q117,1994-03-31,4017.48,1
Q117,1994-06-30,4591.48,1
Q117,1994-09-30,5212.02,1
Q117,1994-12-31,6241.52,1
Q118,1993-03-31,5038.9,0
Q118,1993-06-30,4936.1,0
Q118,1993-09-30,6449.95,0
Q118,1993-12-31,4984.4,0
Q118,1994-03-31,5275.95,0
Q118,1994-06-30,5159.8,0
Q118,1994-09-30,6079.05,0
Q118,1994-12-31,5929.75,1
Q119,1993-03-31,5357.05,0
Q119,1993-06-30,5807.9,0
Q119,1993-09-30,5789.75,0
Q119,1993-12-31,6597.3,0
Q119,1994-03-31,5496.1,0
Q119,1994-06-30,5923.5,0
Q119,1994-09-30,6016.8,0
Q119,1994-12-31,7042.1,0
Q12,1993-03-31,7543.4,0
Q12,1993-06-30,8054.4,0
Q12,1993-09-30,7834.3,0
Q12,1993-12-31,7688.1,0
Q12,1994-03-31,7723.1,0
Q12,1994-06-30,7946.0,0
Q12,1994-09-30,7853.6,0
Q12,1994-12-31,7931.3,0
Q120,1993-03-31,5314.4,0
Q120,1993-06-30,5334.7,0
Q120,1993-09-30,5086.2,0
Q120,1993-12-31,5235.8,0
Q120,1994-03-31,4951.3,0
Q120,1994-06-30,4881.0,0
Q120,1994-09-30,4920.2,0
Q120,1994-12-31,5530.5,0
Q121,1992-09-30,5197.3,0
Q121,1992-12-31,5208.6,0
Q121,1993-03-31,4992.6,0
Q121,1993-06-30,4971.5,0
Q121,1993-09-30,6100.3,0
Q121,1993-12-31,6230.2,1
Q121,1994-03-31,6006.2,0
Q121,1994-06-30,6481.3,1
Q122,1993-03-31,5068.6,0
Q122,1993-06-30,5462.6,0
Q122,1993-09-30,5853.6,0
Q122,1993-12-31,5663.2,0
Q122,1994-03-31,5498.2,0
Q122,1994-06-30,5983.6,0
Q122,1994-09-30,6408.2,0
Q122,1994-12-31,6262.2,0
Q123,1991-03-31,6368.0,0
Q123,1991-06-30,6657.2,0
Q123,1991-09-30,7459.2,0
Q123,1991-12-31,6401.0,0
Q123,1992-03-31,6548.3,0
Q123,1992-06-30,6957.5,0
Q123,1992-09-30,7490.3,0
Q123,1992-12-31,6892.2,0
Q124,1992-06-30,4113.4,0
Q124,1992-09-30,4184.2,0
Q124,1992-12-31,4082.4,0
Q124,1993-03-31,4019.0,0
Q124,1993-06-30,4233.0,0
Q124,1993-09-30,4487.4,0
Q124,1993-12-31,4475.0,0
Q124,1994-03-31,4569.2,0
Q125,1993-03-31,3714.9,0
Q125,1993-06-30,3814.22,0
Q125,1993-09-30,3867.34,0
Q125,1993-12-31,4548.5,0
Q125,1994-03-31,4899.46,0
Q125,1994-06-30,3795.52,0
Q125,1994-09-30,3994.8,0
Q125,1994-12-31,5119.2,0
Q126,1993-03-31,4632.05,0
Q126,1993-06-30,5350.5,0
Q126,1993-09-30,7054.75,0
Q126,1993-12-31,5389.35,0
Q126,1994-03-31,7030.2,1
Q126,1994-06-30,7931.5,1
Q126,1994-09-30,9027.6,1
Q126,1994-12-31,5827.15,0
Q127,1993-03-31,3198.4,0
Q127,1993-06-30,3295.8,0
Q127,1993-09-30,3240.2,0
Q127,1993-12-31,4129.4,0
Q127,1994-03-31,3194.5,0
Q127,1994-06-30,3479.8,0
Q127,1994-09-30,3738.7,0
Q127,1994-12-31,5282.8,0
Q128,1993-03-31,4763.0,0
Q128,1993-06-30,4851.0,0
Q128,1993-09-30,5056.5,0
Q128,1993-12-31,5087.0,0
Q128,1994-03-31,5073.0,0
Q128,1994-06-30,5526.0,0
Q128,1994-09-30,6133.5,0
Q128,1994-12-31,6633.5,0
Q129,1992-09-30,5179.75,0
Q129,1992-12-31,5956.6,0
Q129,1993-03-31,5667.0,0
Q129,1993-06-30,5796.0,0
Q129,1993-09-30,6479.05,0
Q129,1993-12-31,7469.2,0
Q129,1994-03-31,7844.7,0
Q129,1994-06-30,7197.85,0
Q13,1993-03-31,4848.2,0
Q13,1993-06-30,4993.6,0
Q13,1993-09-30,5315.4,0
Q13,1993-12-31,5256.0,0
Q13,1994-03-31,5984.3,1
Q13,1994-06-30,6408.9,1
Q13,1994-09-30,6574.7,1
Q13,1994-12-31,6590.0,1
Q130,1992-12-31,5544.4,0
Q130,1993-03-31,5985.55,0
Q130,1993-06-30,6055.9,0
Q130,1993-09-30,6413.95,0
Q130,1993-12-31,6427.7,0
Q130,1994-03-31,6353.15,0
Q130,1994-06-30,6711.45,0
Q130,1994-09-30,7083.5,0
Q131,1993-03-31,4044.89,0
Q131,1993-06-30,2964.66,0
Q131,1993-09-30,2936.01,0
Q131,1993-12-31,3146.59,0
Q131,1994-03-31,4031.98,0
Q131,1994-06-30,2883.65,0
Q131,1994-09-30,4141.54,0
Q131,1994-12-31,4696.32,1
Q132,1992-06-30,4012.1,0
Q132,1992-09-30,3688.22,0
Q132,1992-12-31,4386.12,0
Q132,1993-03-31,4115.34,0
Q132,1993-06-30,4159.18,0
Q132,1993-09-30,3926.1,0
Q132,1993-12-31,4769.92,0
Q132,1994-03-31,4119.26,0
Q133,1993-03-31,5865.3,0
Q133,1993-06-30,6465.0,0
Q133,1993-09-30,6164.3,0
Q133,1993-12-31,7335.4,0
Q133,1994-03-31,4696.4,0
Q133,1994-06-30,5712.5,0
Q133,1994-09-30,5336.0,0
Q133,1994-12-31,6599.5,0
Q134,1993-03-31,5661.9,0
Q134,1993-06-30,6748.25,0
Q134,1993-09-30,8013.45,0
Q134,1993-12-31,6157.9,0
Q134,1994-03-31,5894.5,0
Q134,1994-06-30,7215.25,0
Q134,1994-09-30,7564.5,0
Q134,1994-12-31,6439.05,0
Q135,1993-03-31,4223.65,0
Q135,1993-06-30,4688.85,0
Q135,1993-09-30,4382.65,0
Q135,1993-12-31,4912.95,0
Q135,1994-03-31,4383.15,0
Q135,1994-06-30,4834.4,0
Q135,1994-09-30,4662.15,0
Q135,1994-12-31,5242.95,0
Q136,1993-03-31,3217.9,0
Q136,1993-06-30,3465.95,0
Q136,1993-09-30,4493.4,0
Q136,1993-12-31,5301.15,0
Q136,1994-03-31,3758.35,0
Q136,1994-06-30,3865.65,0
Q136,1994-09-30,4941.75,0
Q136,1994-12-31,6048.95,0
Q137,1993-03-31,7544.4,0
Q137,1993-06-30,7729.4,0
Q137,1993-09-30,7451.0,0
Q137,1993-12-31,7875.4,0
Q137,1994-03-31,7770.8,0
Q137,1994-06-30,8534.6,0
Q137,1994-09-30,7914.6,0
Q137,1994-12-31,8334.0,0
Q138,1993-03-31,5189.55,0
Q138,1993-06-30,5530.9,0
Q138,1993-09-30,5724.2,0
Q138,1993-12-31,5476.8,0
Q138,1994-03-31,5810.35,0
Q138,1994-06-30,6099.0,0
Q138,1994-09-30,6342.1,0
Q138,1994-12-31,6040.6,0
Q139,1993-03-31,5888.0,0
Q139,1993-06-30,6410.0,0
Q139,1993-09-30,5964.0,0
Q139,1993-12-31,6398.0,0
Q139,1994-03-31,5910.0,0
Q139,1994-06-30,6404.0,0
Q139,1994-09-30,6566.0,0
Q139,1994-12-31,6684.0,0
Q14,1993-03-31,3554.24,0
Q14,1993-06-30,3574.36,0
Q14,1993-09-30,3562.92,0
Q14,1993-12-31,3612.4,0
Q14,1994-03-31,3724.88,0
Q14,1994-06-30,3861.44,0
Q14,1994-09-30,3785.36,0
Q14,1994-12-31,4126.66,0
Q140,1993-03-31,6083.0,0
Q140,1993-06-30,6186.5,0
Q140,1993-09-30,6698.5,0
Q140,1993-12-31,8086.0,0
Q140,1994-03-31,6805.5,0
Q140,1994-06-30,7032.5,0
Q140,1994-09-30,7517.0,0
Q140,1994-12-31,8996.0,0
Q141,1993-03-31,5628.0,0
Q141,1993-06-30,6000.6,0
Q141,1993-09-30,5826.2,0
Q141,1993-12-31,5832.0,0
Q141,1994-03-31,5819.2,0
Q141,1994-06-30,6104.6,0
Q141,1994-09-30,6231.6,0
Q141,1994-12-31,6421.0,0
Q142,1993-03-31,6061.8,0
Q142,1993-06-30,6604.1,0
Q142,1993-09-30,6988.4,0
Q142,1993-12-31,6629.7,0
Q142,1994-03-31,7063.7,1
Q142,1994-06-30,7685.5,0
Q142,1994-09-30,7793.0,0
Q142,1994-12-31,7688.5,1
Q143,1993-03-31,4826.0,0
Q143,1993-06-30,4916.0,0
Q143,1993-09-30,4943.0,0
Q143,1993-12-31,5063.0,0
Q143,1994-03-31,4746.0,0
Q143,1994-06-30,4955.0,0
Q143,1994-09-30,4995.0,0
Q143,1994-12-31,5248.0,0
Q144,1993-03-31,7737.5,0
Q144,1993-06-30,7857.0,0
Q144,1993-09-30,7700.0,0
Q144,1993-12-31,8078.0,0
Q144,1994-03-31,6881.5,0
Q144,1994-06-30,7127.0,0
Q144,1994-09-30,7027.0,0
Q144,1994-12-31,7667.0,0
Q145,1992-06-30,6539.9,0
Q145,1992-09-30,8857.8,0
Q145,1992-12-31,7611.1,0
Q145,1993-03-31,7037.5,0
Q145,1993-06-30,8326.8,0
Q145,1993-09-30,8151.1,0
Q145,1993-12-31,8026.8,0
Q145,1994-03-31,7206.6,0
Q146,1993-03-31,4870.4,0
Q146,1993-06-30,5155.5,0
Q146,1993-09-30,8123.9,0
Q146,1993-12-31,9322.0,0
Q146,1994-03-31,4891.3,0
Q146,1994-06-30,4443.2,0
Q146,1994-09-30,7962.2,0
Q146,1994-12-31,9405.8,0
Q147,1993-03-31,4488.95,0
Q147,1993-06-30,3092.15,0
Q147,1993-09-30,4678.3,0
Q147,1993-12-31,5181.85,0
Q147,1994-03-31,4419.45,0
Q147,1994-06-30,3379.9,0
Q147,1994-09-30,4832.55,0
Q147,1994-12-31,5399.45,0
Q148,1993-03-31,6516.0,0
Q148,1993-06-30,6670.0,0
Q148,1993-09-30,6810.0,0
Q148,1993-12-31,7164.0,0
Q148,1994-03-31,6610.0,0
Q148,1994-06-30,7274.0,0
Q148,1994-09-30,7446.0,0
Q148,1994-12-31,8106.0,0
Q149,1993-03-31,5379.5,0
Q149,1993-06-30,5400.5,0
Q149,1993-09-30,5780.0,0
Q149,1993-12-31,5712.5,0
Q149,1994-03-31,5643.0,0
Q149,1994-06-30,5661.0,0
Q149,1994-09-30,5713.5,0
Q149,1994-12-31,5999.0,0
Q15,1993-03-31,3503.5,0
Q15,1993-06-30,3541.52,0
Q15,1993-09-30,3656.92,0
Q15,1993-12-31,3741.52,0
Q15,1994-03-31,3895.2,1
Q15,1994-06-30,3925.52,1
Q15,1994-09-30,3909.42,1
Q15,1994-12-31,4058.94,0
Q150,1993-03-31,2713.85,0
Q150,1993-06-30,3019.5,0
Q150,1993-09-30,2340.25,0
Q150,1993-12-31,2578.7,0
Q150,1994-03-31,2619.15,0
Q150,1994-06-30,2948.3,0
Q150,1994-09-30,3016.25,0
Q150,1994-12-31,3834.05,0
Q151,1993-03-31,4760.5,0
Q151,1993-06-30,5033.85,0
Q151,1993-09-30,4867.6,0
Q151,1993-12-31,5443.35,0
Q151,1994-03-31,5051.55,0
Q151,1994-06-30,5719.05,0
Q151,1994-09-30,5568.35,0
Q151,1994-12-31,6198.4,0
Q152,1993-03-31,6724.0,0
Q152,1993-06-30,7012.0,0
Q152,1993-09-30,6810.0,0
Q152,1993-12-31,6824.0,0
Q152,1994-03-31,6828.0,0
Q152,1994-06-30,7266.0,0
Q152,1994-09-30,7706.0,0
Q152,1994-12-31,8200.0,0
Q153,1993-03-31,4620.0,0
Q153,1993-06-30,5090.0,0
Q153,1993-09-30,5520.0,0
Q153,1993-12-31,6690.0,1
Q153,1994-03-31,6080.0,1
Q153,1994-06-30,7290.0,1
Q153,1994-09-30,7590.0,1
Q153,1994-12-31,8940.0,1
Q154,1993-03-31,4410.0,1
Q154,1993-06-30,7200.0,0
Q154,1993-09-30,7370.0,0
Q154,1993-12-31,300.0,1
Q154,1994-03-31,7230.0,0
Q154,1994-06-30,7210.0,0
Q154,1994-09-30,7640.0,0
Q154,1994-12-31,7150.0,0
Q155,1993-03-31,2450.0,0
Q155,1993-06-30,1830.0,0
