unique_id,seasonal_str,trend_str
M1,No seasonality,No trend
M10,No seasonality,No trend
M100,With seasonality,With trend
M1000,No seasonality,With trend
M1001,No seasonality,With trend
M1002,No seasonality,With trend
M1003,No seasonality,With trend
M1004,No seasonality,With trend
M1005,No seasonality,With trend
M1006,No seasonality,With trend
M1007,No seasonality,With trend
M1008,No seasonality,With trend
M1009,No seasonality,With trend
M101,With seasonality,No trend
M1010,With seasonality,With trend
M1011,With seasonality,With trend
M1012,With seasonality,With trend
M1013,No seasonality,With trend
M1014,No seasonality,With trend
M1015,No seasonality,With trend
M1016,No seasonality,With trend
M1017,No seasonality,With trend
M1018,No seasonality,With trend
M1019,No seasonality,With trend
M102,With seasonality,With trend
M1020,No seasonality,With trend
M1021,No seasonality,With trend
M1022,No seasonality,With trend
M1023,No seasonality,With trend
M1024,No seasonality,With trend
M1025,No seasonality,With trend
M1026,No seasonality,With trend
M1027,No seasonality,With trend
M1028,No seasonality,With trend
M1029,No seasonality,With trend
M103,With seasonality,No trend
M1030,No seasonality,With trend
M1031,No seasonality,With trend
M1032,No seasonality,With trend
M1033,No seasonality,With trend
M1034,No seasonality,With trend
M1035,No seasonality,No trend
M1036,With seasonality,With trend
M1037,No seasonality,With trend
M1038,No seasonality,With trend
M1039,No seasonality,With trend
M104,With seasonality,No trend
M1040,No seasonality,With trend
M1041,No seasonality,With trend
M1042,No seasonality,With trend
M1043,No seasonality,With trend
M1044,No seasonality,With trend
M1045,No seasonality,With trend
M1046,No seasonality,With trend
M1047,No seasonality,With trend
M1048,With seasonality,With trend
M1049,No seasonality,With trend
M105,With seasonality,No trend
M1050,With seasonality,With trend
M1051,No seasonality,With trend
M1052,With seasonality,With trend
M1053,With seasonality,With trend
M1054,With seasonality,With trend
M1055,With seasonality,With trend
M1056,With seasonality,With trend
M1057,No seasonality,No trend
M1058,With seasonality,With trend
M1059,With seasonality,With trend
M106,With seasonality,No trend
M1060,No seasonality,With trend
M1061,No seasonality,With trend
M1062,With seasonality,With trend
M1063,With seasonality,With trend
M1064,With seasonality,With trend
M1065,With seasonality,With trend
M1066,No seasonality,With trend
M1067,With seasonality,With trend
M1068,With seasonality,With trend
M1069,With seasonality,With trend
M107,With seasonality,No trend
M1070,With seasonality,With trend
M1071,With seasonality,With trend
M1072,With seasonality,With trend
M1073,No seasonality,With trend
M1074,With seasonality,With trend
M1075,With seasonality,With trend
M1076,With seasonality,With trend
M1077,With seasonality,With trend
M1078,No seasonality,No trend
M1079,With seasonality,With trend
M108,No seasonality,No trend
M1080,With seasonality,With trend
M1081,With seasonality,With trend
M1082,With seasonality,With trend
M1083,With seasonality,With trend
M1084,No seasonality,With trend
M1085,No seasonality,With trend
M1086,No seasonality,With trend
M1087,No seasonality,With trend
M1088,No seasonality,With trend
M1089,No seasonality,With trend
M109,With seasonality,No trend
M1090,No seasonality,With trend
M1091,No seasonality,With trend
M1092,No seasonality,With trend
M1093,No seasonality,With trend
M1094,With seasonality,With trend
M1095,With seasonality,With trend
M1096,With seasonality,With trend
M1097,With seasonality,With trend
M1098,With seasonality,With trend
M1099,With seasonality,With trend
M11,With seasonality,No trend
M110,With seasonality,No trend
M1100,With seasonality,With trend
M1101,With seasonality,With trend
M1102,With seasonality,With trend
M1103,With seasonality,With trend
M1104,With seasonality,With trend
M1105,With seasonality,With trend
M1106,With seasonality,With trend
M1107,With seasonality,With trend
M1108,With seasonality,With trend
M1109,With seasonality,With trend
M111,No seasonality,No trend
M1110,With seasonality,With trend
M1111,With seasonality,With trend
M1112,With seasonality,With trend
M1113,With seasonality,With trend
M1114,No seasonality,With trend
M1115,No seasonality,With trend
M1116,No seasonality,With trend
M1117,No seasonality,With trend
M1118,No seasonality,With trend
M1119,No seasonality,With trend
M112,With seasonality,No trend
M1120,No seasonality,No trend
M1121,No seasonality,With trend
M1122,No seasonality,With trend
M1123,No seasonality,With trend
M1124,No seasonality,With trend
M1125,No seasonality,With trend
M1126,With seasonality,With trend
M1127,With seasonality,With trend
M1128,With seasonality,With trend
M1129,No seasonality,With trend
M113,With seasonality,No trend
M1130,With seasonality,With trend
M1131,With seasonality,With trend
M1132,No seasonality,With trend
M1133,No seasonality,With trend
M1134,No seasonality,With trend
M1135,No seasonality,With trend
M1136,With seasonality,With trend
M1137,With seasonality,With trend
M1138,With seasonality,With trend
M1139,With seasonality,No trend
M114,No seasonality,No trend
M1140,With seasonality,With trend
M1141,With seasonality,With trend
M1142,No seasonality,With trend
M1143,No seasonality,With trend
M1144,With seasonality,With trend
M1145,No seasonality,With trend
M1146,No seasonality,With trend
M1147,With seasonality,With trend
M1148,With seasonality,With trend
M1149,No seasonality,With trend
M115,No seasonality,No trend
M1150,No seasonality,With trend
M1151,No seasonality,With trend
M1152,No seasonality,With trend
M1153,With seasonality,With trend
M1154,With seasonality,With trend
M1155,With seasonality,With trend
M1156,With seasonality,With trend
M1157,With seasonality,With trend
M1158,No seasonality,With trend
M1159,With seasonality,With trend
M116,With seasonality,No trend
M1160,With seasonality,With trend
M1161,With seasonality,With trend
M1162,No seasonality,With trend
M1163,No seasonality,With trend
M1164,No seasonality,With trend
M1165,No seasonality,With trend
M1166,No seasonality,With trend
M1167,With seasonality,With trend
M1168,No seasonality,With trend
M1169,No seasonality,With trend
M117,No seasonality,No trend
M1170,No seasonality,With trend
M1171,With seasonality,With trend
M1172,With seasonality,With trend
M1173,With seasonality,No trend
M1174,No seasonality,With trend
M1175,No seasonality,With trend
M1176,With seasonality,With trend
M1177,With seasonality,With trend
M1178,No seasonality,No trend
M1179,No seasonality,With trend
M118,No seasonality,No trend
M1180,With seasonality,With trend
M1181,No seasonality,With trend
M1182,With seasonality,With trend
M1183,No seasonality,With trend
M1184,No seasonality,With trend
M1185,No seasonality,With trend
M1186,No seasonality,With trend
M1187,No seasonality,With trend
M1188,No seasonality,With trend
M1189,No seasonality,With trend
M119,No seasonality,No trend
M1190,No seasonality,With trend
M1191,No seasonality,With trend
M1192,No seasonality,With trend
M1193,No seasonality,With trend
M1194,No seasonality,With trend
M1195,No seasonality,With trend
M1196,No seasonality,With trend
M1197,No seasonality,With trend
M1198,No seasonality,No trend
M1199,No seasonality,With trend
M12,No seasonality,No trend
M120,With seasonality,No trend
M1200,No seasonality,With trend
M1201,No seasonality,No trend
M1202,No seasonality,With trend
M1203,No seasonality,No trend
M1204,With seasonality,No trend
M1205,No seasonality,With trend
M1206,No seasonality,With trend
M1207,No seasonality,With trend
M1208,No seasonality,With trend
M1209,No seasonality,With trend
M121,No seasonality,No trend
M1210,No seasonality,With trend
M1211,No seasonality,With trend
M1212,No seasonality,With trend
M1213,No seasonality,With trend
M1214,No seasonality,With trend
M1215,No seasonality,With trend
M1216,No seasonality,With trend
M1217,No seasonality,With trend
M1218,No seasonality,With trend
M1219,No seasonality,With trend
M122,No seasonality,No trend
M1220,No seasonality,With trend
M1221,No seasonality,With trend
M1222,No seasonality,With trend
M1223,No seasonality,With trend
M1224,No seasonality,With trend
M1225,No seasonality,With trend
M1226,No seasonality,With trend
M1227,No seasonality,With trend
M1228,No seasonality,With trend
M1229,No seasonality,With trend
M123,No seasonality,No trend
M1230,No seasonality,With trend
M1231,No seasonality,With trend
M1232,No seasonality,With trend
M1233,No seasonality,With trend
M1234,No seasonality,With trend
M1235,No seasonality,With trend
M1236,With seasonality,With trend
M1237,No seasonality,With trend
M1238,No seasonality,With trend
M1239,No seasonality,With trend
M124,With seasonality,No trend
M1240,No seasonality,With trend
M1241,No seasonality,With trend
M1242,No seasonality,With trend
M1243,With seasonality,With trend
M1244,No seasonality,With trend
M1245,No seasonality,With trend
M1246,With seasonality,With trend
M1247,No seasonality,With trend
M1248,No seasonality,With trend
M1249,With seasonality,With trend
M125,No seasonality,No trend
M1250,No seasonality,With trend
M1251,With seasonality,With trend
M1252,No seasonality,No trend
M1253,With seasonality,With trend
M1254,No seasonality,With trend
M1255,No seasonality,With trend
M1256,No seasonality,With trend
M1257,No seasonality,With trend
M1258,No seasonality,With trend
M1259,No seasonality,With trend
M126,No seasonality,No trend
M1260,With seasonality,With trend
M1261,With seasonality,With trend
M1262,No seasonality,With trend
M1263,No seasonality,With trend
M1264,With seasonality,With trend
M1265,With seasonality,With trend
M1266,With seasonality,With trend
M1267,No seasonality,With trend
M1268,With seasonality,With trend
M1269,With seasonality,With trend
M127,No seasonality,No trend
M1270,With seasonality,With trend
M1271,No seasonality,With trend
M1272,No seasonality,With trend
M1273,No seasonality,With trend
M1274,No seasonality,With trend
M1275,No seasonality,With trend
M1276,No seasonality,With trend
M1277,No seasonality,With trend
M1278,No seasonality,With trend
M1279,No seasonality,With trend
M128,No seasonality,No trend
M1280,No seasonality,With trend
M1281,No seasonality,With trend
M1282,No seasonality,With trend
