unique_id,ds,AutoKAN,AutoMLP,AutoGRU,AutoLSTM,AutoDLinear,AutoDeepAR,AutoDeepAR-median,AutoDeepAR-lo-90,AutoDeepAR-lo-80,AutoDeepAR-hi-80,AutoDeepAR-hi-90,AutoNHITS,AutoDeepNPTS,AutoAutoformer,AutoInformer,AutoTCN,AutoDilatedRNN,y
m1,2022-12-01,6521.387,6566.672,6654.5234,6478.292,6342.8833,6277.563,6243.6714,5461.1865,5642.391,7059.2026,7228.7,6691.1016,6611.104,6124.269,8347.541,7012.2754,6636.359,6857.8
m1,2023-01-01,4324.424,4475.014,4335.682,4383.993,4462.135,3975.0867,4007.5947,3042.869,3249.9595,4681.6733,4867.0107,4286.599,4150.2393,4434.333,3763.0566,4505.834,4319.625,4346.09
m1,2023-02-01,3154.4692,3261.4158,2960.177,2985.2764,3032.7734,2817.9414,2781.457,2022.1433,2209.6875,3507.0068,3611.408,3172.6108,2841.0,3096.5684,2993.8018,3148.1904,2841.9429,3154.73
m1,2023-03-01,2283.636,2377.3567,2137.5562,2125.4512,2005.9797,2116.505,2116.9136,1201.1488,1372.5093,2864.5955,2982.4639,2107.878,1813.4401,2425.9424,2259.9849,2217.2354,2107.9333,2142.21
m1,2023-04-01,2285.3335,2138.2334,1891.754,2045.0924,2223.998,1759.6016,1762.9656,897.2035,1169.4856,2309.0251,2423.109,2165.5962,2261.08,2294.2637,2168.0952,2368.5762,2217.6274,2375.725
m1,2023-05-01,1941.2236,2026.8931,1874.1049,2027.6523,1847.9149,1734.0786,1749.1945,935.7243,1096.7035,2351.1414,2476.0322,1803.198,1873.6095,2026.1559,1842.9563,2001.5806,1903.2744,1981.11
m1,2023-06-01,1941.3301,1927.0139,1842.5573,1811.1606,1935.7739,1854.594,1810.8583,975.8221,1066.5153,2686.3538,2851.955,1861.0662,1772.8403,1949.9944,1861.8522,1891.5769,1628.7229,1959.865
m1,2023-07-01,2225.7031,2223.5579,2274.6013,2345.0134,2435.0703,1884.6797,1830.2756,1002.79083,1268.4762,2598.0564,2747.1216,2119.183,2049.565,2158.4756,2033.8401,2204.975,2119.7163,2466.31
m1,2023-08-01,3102.115,3086.9905,2944.7493,3051.8828,3065.1653,2392.2087,2413.5151,1422.1864,1633.066,3151.479,3352.8367,2672.367,2932.265,2768.2449,2807.3145,3012.6064,2811.6133,2851.715
m1,2023-09-01,3358.453,3391.9849,3061.634,3039.7554,3337.5593,3153.0925,3177.6401,2055.9287,2159.5828,3932.0386,4124.519,3191.6323,3113.255,3321.4014,3094.273,3130.4072,3277.9978,3671.805
m1,2023-10-01,3969.653,4081.084,4098.0444,3707.6042,4042.4136,3780.5093,3815.766,2577.9683,2766.7139,4665.4307,5018.0674,3945.086,3461.5051,4017.5984,3789.8882,3685.4883,3890.0537,3806.78
