parameter,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoTFT,AutoPatchTST,AutoGRU,AutoDeepAR,AutoLSTM,AutoDilatedRNN,AutoTCN
h,8,8,8,8,8,8,8,8,8,8,8,8
grid_size,15,,,,,,,,,,,
spline_order,2,,,,,,,,,,,
hidden_size,128,512,,,64,128,16,,,,,
learning_rate,0.00024269232470354468,0.003549137261641304,0.0015995140404060073,0.0004125584039262679,0.0358825733441429,0.011732441013433521,0.0003981078819990761,0.0005902398090393081,0.016268914844229918,0.013720040825498506,0.004050765650237654,0.0351095989533445
scaler_type,standard,standard,,standard,robust,standard,,,robust,,,
max_steps,1200.0,500,900.0,1100.0,500.0,500,1000,1000,1000,500,500,1000
batch_size,32,32,32,256,32,256,32,32,32,32,32,32
windows_batch_size,1024,1024,512,1024,1024,256,1024,,512,,,
loss,MAE(),MAE(),MAE(),MAE(),MAE(),MAE(),MAE(),MAE(),DistributionLoss(),MAE(),MAE(),MAE()
random_seed,12,14,1,19,3,6,6,16,16,7,13,12
accelerator,cpu,mps,mps,mps,cpu,mps,mps,cpu,cpu,cpu,cpu,cpu
input_size,8,8,8,8,8,8,16,-8,8,-8,-8,32
step_size,1,1,1,1,1,1,1,,8,,,
valid_loss,MAE(),MAE(),MAE(),MAE(),MAE(),MAE(),MAE(),MAE(),MQLoss(),MAE(),MAE(),MAE()
num_layers,,2,,,,,,,,,,
moving_avg_window,,,25,,,,,,,,,
n_pool_kernel_size,,,,"[1, 1, 1]",,,,,,,,
n_freq_downsample,,,,"[180, 60, 1]",,,,,,,,
dropout,,,,,0.4677801998545735,,,,,,,
n_layers,,,,,1,,,,,,,
n_head,,,,,,4,,,,,,
n_heads,,,,,,,16,,,,,
patch_len,,,,,,,16,,,,,
revin,,,,,,,True,,,,,
encoder_hidden_size,,,,,,,,128,,128,64,32
encoder_n_layers,,,,,,,,2,,2,,
context_size,,,,,,,,50,,50,5,5
decoder_hidden_size,,,,,,,,128,,64,128,64
inference_input_size,,,,,,,,-8,,-8,-8,-8
lstm_hidden_size,,,,,,,,,256,,,
lstm_n_layers,,,,,,,,,2,,,
lstm_dropout,,,,,,,,,0.3251382340837494,,,
cell_type,,,,,,,,,,,LSTM,
dilations,,,,,,,,,,,"[[1, 2, 4, 8]]",
