parameter,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoTFT,AutoPatchTST,AutoGRU,AutoDeepAR,AutoLSTM,AutoDilatedRNN,AutoTCN
h,8,8,8,8,8,8,8,8,8,8,8,8
grid_size,15,,,,,,,,,,,
spline_order,2,,,,,,,,,,,
hidden_size,128,1024,,,64,128,128,,,,,
learning_rate,0.016729228252046164,0.0017302718667300703,0.025186437545655853,0.00015107971539227218,0.012134430405333579,0.000506713232638879,0.0044273559737228055,0.061701378255490984,0.00028514681593570963,0.00267712851429669,0.0029652270978465013,0.001646755136791861
scaler_type,,,,,robust,standard,,,robust,,,
max_steps,1000.0,1000,1500.0,1100.0,1200.0,1000,500,1000,1000,1000,1000,1000
batch_size,128,128,128,128,128,128,128,32,128,16,16,16
windows_batch_size,1024,512,1024,1024,128,512,1024,,1024,,,
loss,MAE(),MAE(),MAE(),MAE(),MAE(),MAE(),MAE(),MAE(),DistributionLoss(),MAE(),MAE(),MAE()
random_seed,10,9,6,2,19,10,18,10,5,8,13,11
accelerator,cpu,mps,mps,mps,cpu,mps,mps,cpu,cpu,cpu,cpu,cpu
limit_val_batches,50,50,50,50,50,50,50,50,50,50,50,50
input_size,16,16,16,8,16,24,16,512,8,128,32,512
step_size,1,8,8,1,8,1,8,,1,,,
valid_loss,MAE(),MAE(),MAE(),MAE(),MAE(),MAE(),MAE(),MAE(),MQLoss(),MAE(),MAE(),MAE()
num_layers,,4,,,,,,,,,,
moving_avg_window,,,51,,,,,,,,,
n_pool_kernel_size,,,,"[16, 8, 1]",,,,,,,,
n_freq_downsample,,,,"[168, 24, 1]",,,,,,,,
dropout,,,,,0.33427930422404833,,,,,,,
n_layers,,,,,4,,,,,,,
n_head,,,,,,8,,,,,,
n_heads,,,,,,,16,,,,,
patch_len,,,,,,,16,,,,,
revin,,,,,,,True,,,,,
encoder_hidden_size,,,,,,,,64,,32,32,16
encoder_n_layers,,,,,,,,2,,3,,
context_size,,,,,,,,50,,50,50,5
decoder_hidden_size,,,,,,,,32,,16,16,64
inference_input_size,,,,,,,,-8,,-8,-8,-8
lstm_hidden_size,,,,,,,,,32,,,
lstm_n_layers,,,,,,,,,1,,,
lstm_dropout,,,,,,,,,0.4138597385474972,,,
cell_type,,,,,,,,,,,GRU,
dilations,,,,,,,,,,,"[[1, 2, 4, 8]]",
